比赛项目,报名开启时间,报名渠道,创建人,分项规模,官网,完赛经历要求,体检报告,奖牌,官方邮箱,联系电话,运营单位,出签日期,省份,赛事等级,退出机制,报名截止时间,比赛路线,抽签,起点,状态,主办单位,比赛日期,报名费,缴费时间,总规模,最后编辑人,微信公众号,赛事
半程 / 短距离,2025-04-07 10:00,官网/微信/小程序,,10000/5000,,未提及,未提及,,relay@42195.com,028-83419663,,2025-04-30 09:43,青海,A,,2025-04-21 10:00,,✔️,青海体育中心,已结束,西宁市人民政府 / 西宁市城西区人民政府,2025-06-29 11:09,100/80,报名时缴费,15000,,2025年西宁半程马拉松,西宁半程马拉松
全程 / 半程 / 短距离,2025-02-14 13:14,官网/微信/小程序 / 数字心动,,3000/6000/3000,,未提及,未提及,,,,烟台落基体育有限公司,,山东,B,,2025-04-24 23:59,,❌,,已结束,烟台市体育局 / 海阳市人民政府,2025-05-25 00:00,179/149/79,报名时缴费,12000,,落基体育RockySports,海阳马拉松
半程 / 短距离,2025-06-30 09:00,官网/微信/小程序 / 数字心动,,9000/3000,,未提及,自行评估,,lhsmarathon@163.com,19905197127,常州有迈竞创体育文化有限公司,2025-08-01 00:00,吉林,B,,2025-07-27 18:00,,✔️,力旺·孔雀林,已结束,长春市体育局 / 长春莲花山生态旅游度假区管理委员会,2025-09-07 00:00,150/80,报名时缴费,12000,,长春莲花山度假区旅游局,长春莲花山半程马拉松
全程 / 半程,2025-07-10 10:00,官网/微信/小程序 / 马拉马拉,,8000/12000,https://www.symarathon.com,半程或以上,自行评估,,sy_marathon@163.com,15142042195,北京中锐体育产业有限公司,2025-07-30 00:00,辽宁,A / 精英,有退出和候补机制,2025-07-22 15:00,,✔️,,已结束,沈阳市人民政府,2025-09-14 16:26,180/150,报名时缴费,20000,,2025沈阳马拉松,沈阳马拉松
半程 / 短距离,2025-06-23 10:00,官网/微信/小程序 / 数字心动,,8000/4000,http://lanzhouxinqumarathon.com,未提及,自行评估,,xqbcmls@163.com,0931-8100500,,2025-07-15 00:00,甘肃,A,无,2025-06-27 18:00,,✔️,栖霞湖,已结束,兰州新区管理委员会,2025-08-24 00:00,100/60,报名时缴费,12000,,兰州新区半程马拉松,兰州新区半程马拉松
10km,2025-07-18 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 最酷,,5000,,未提及,自行评估,,,13161117089,北京京视体育发展有限责任公司,,北京,B,,2025-08-15 10:00,,✔️,十三陵水库,已结束,北京市昌平区人民政府 / 北京奥运城市发展促进会,2025-09-07 00:00,120,报名时缴费,5000,,北京奥运城市发展促进会,北京奥运城市体育文化节- RUN GIRLS女子跑昌平十三陵10公里
全程 / 半程 / 10km / 短距离,2025-03-03 09:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 马拉松报名网,,4000/8000/3000/5000,,未提及,自行评估,,,0851-28975933,贵州小马体育发展有限公司 / 济南路跑文化传播有限公司,,贵州,A,无,2025-04-15 17:00,,❌,遵义市奥林匹克体育中心,已结束,贵州省体育局 / 遵义市人民政府,2025-05-11 00:00,198/158/108/88,报名时缴费,20000,,遵义马拉松、贵州小马体育,遵义马拉松
半程 / 短距离,2025-05-09 10:00,官网/微信/小程序,,3000/2000,,未提及,自行评估,,baojimarathon@163.com,,威赢赛事运营有限公司,2025-05-23 14:44,陕西,A,,2025-05-14 12:00,,✔️,青莲山广场,已结束,宝鸡市体育局 / 麟游县人民政府,2025-06-29 10:30,120/60,中签后缴费,5000,,宝鸡马拉松,陕西宝鸡·麟游夏季半程马拉松
全程 / 半程 / 短距离,2025-03-27 17:18,官网/微信/小程序 / 数字心动,,7000/11000/10000,https://yinchuanmarathon.shuzixindong.com,未提及,未提及,,yinchuanmls@163.com,0951-6713026,,2025-04-22 17:08,宁夏,A,,2025-04-17 12:00,,✔️,,已结束,宁夏回族自治区体育局 / 银川市人民政府 / 宁夏贺兰山东麓葡萄酒产业园区管委会,2025-05-18 00:00,180/150/80,报名时缴费,28000,,银川马拉松,宁夏银川马拉松赛
全程 / 半程 / 短距离,2025-07-11 10:00,官网/微信/小程序 / 数字心动,,1100/1700/1700,https://tianshanmarathon@163.com,未提及,自行评估,,tianshanmarathon@163.com,0994-6955888,厦门文广体育有限公司,,新疆,A,,2025-07-30 23:59,,❌,,已结束,吉木萨尔县人民政府,2025-08-17 00:00,150/120/80,报名时缴费,4500,,吉木萨尔天山马拉松,吉木萨尔天山马拉松
10km,2025-04-01 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,5000,,未提及,自行评估,,pbbj@baa.org.cn,18511081160,,2025-04-25 11:12,北京,A / WA,无,2025-04-10 18:00,,✔️,石龙路与金沙街交叉口,已结束,中国田径协会 / 北京市门头沟区人民政府,2025-05-18 10:39,100,报名时缴费,5000,,北京市田径运动协会、跑遍北京,中国田径协会10公里精英赛 （北京门头沟站）
半程 / 短距离,2025-04-10 10:00,官网/微信/小程序,,3000/3000,https://www.sichuanbojiesports.com,未提及,必须,,,13529388388,云南博捷体育赛事策划有限公司,,云南,B,,2025-05-09 20:00,,❌,太阳广场,已结束,普洱市教育体育局 / 中共墨江县委员会 / 墨江县人民政府,2025-06-22 10:05,120/60,报名时缴费,6000,,博捷体育,普洱墨江半程马拉松
全程 / 半程 / 10km / 短距离,2025-05-23 15:00,官网/微信/小程序,,8000/12000/2000/10000,http://liupanshui.sites.irunner.mobi/,未提及,自行评估,,gzlpsmb@163.com,0858-8242195,贵州钟山旅游产业发展有限责任公司,2025-06-10 00:00,贵州,A / 精英,,2025-06-05 18:00,https://docimg2.docs.qq.com/image/AgAACG-qqCGngdf2R_RGpZEt0UY-qvwn.png?w=1080&h=729,✔️,人民广场,已结束,贵州省体育局 / 六盘水市人民政府,2025-07-20 08:53,198/148/88/60,报名时缴费,32000,,凉都六盘水马拉松,六盘水马拉松
10km / 短距离,2025-06-16 10:00,数字心动,,5000/5000,,未提及,必须,,,13060487748,云南博捷体育赛事策划有限公司,,云南,A / WA,,2025-07-15 22:00,,❌,,已结束,中国田径协会 / 曲靖市人民政府 / 云南省体育局 / 云南省文化和旅游厅 / 云南省民族宗教事务委员会 / 云南省商务厅,2025-07-27 17:58,80/50,报名时缴费,10000,,,中国田径协会10公里精英赛（曲靖·麒麟）
半程 / 短距离,2025-02-20 12:00,官网/微信/小程序 / 数字心动 / 最酷,,3500/1500,,未提及,未提及,,liren18nzmls@sina.com,17615191214,王者传奇（北京）体育文化有限公司,,山东,B,无,2025-04-10 23:59,,❌,,已结束,威海市体育局 / 乳山市人民政府,2025-05-11 10:42,120/60,报名时缴费,5000,,,乳山半程马拉松
全程 / 半程 / 中距离 / 短距离,2025-02-14 10:00,官网/微信/小程序 / 数字心动,,2000/8000/6000/4000,,半程或以上,自行评估,,lmcdm2023@163.com,0871-65629970,云南行知探索体育文旅产业有限公司,2025-04-30 14:54,云南,A,无,2025-04-20 23:59,,✔️,全民健身中心,已结束,大理州人民政府 / 云南省体育局 / 云南省人民政府外事办公室,2025-05-18 09:41,200/150/80/60,报名时缴费,20000,,澜湄合作大理马拉松LMCDM,澜沧江-湄公河合作大理马拉松
全程 / 半程 / 短距离,2025-04-05 10:00,官网/微信/小程序,,1000/1500/2500,,未提及,自行评估,,lzstmarathon@163.com,0931-8100500,甘肃行者体育管理有限公司,,甘肃,A,无,2025-06-04 17:00,,❌,丹霞广场,已结束,临泽县人民政府,2025-06-29 00:00,120/100/60,报名时缴费,5000,,临泽生态马拉松,临泽马拉松
10km,2025-07-21 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 智赛通 / 跑跑网(马拉松报名),,2000,https://jiamusimarathon.com,未提及,未提及,,jms210975@163.com,16534540672,,2025-08-20 00:00,黑龙江,A / WA,,2025-08-07 17:00,,✔️,佳木斯文体会展中心,已结束,中国田径协会 / 佳木斯市人民政府,2025-09-07 00:00,80,报名时缴费,2000,,佳木斯体育,中国田径协会10公里精英赛（佳木斯站）
全程 / 半程 / 短距离,2024-12-31 10:00,官网/微信/小程序 / 数字心动,,3000/5000/15000,https://www.longfengmarathon.com,全程 / 半程或以上,可用完赛证书,,longfengmls@126.com,19907155622,湖北互通有道体育科技有限公司,2025-03-18 16:56,湖北,A,无,2025-03-15 18:00,https://docimg6.docs.qq.com/image/AgAACG-qqCEtiUX3JqtDpou-Uqu_vx0E.png?w=1080&h=1509,✔️,来凤县文体局文化广场,已结束,来凤县人民政府 / 龙山县人民政府,2025-05-02 09:10,120/100/65,报名时缴费,23000,,湘鄂龙凤双城马拉松,湘鄂龙凤马拉松
半程 / 短距离,2025-04-28 18:00,数字心动 / 马拉马拉 / 润赛美佳 / 汇跑参赛助手 / 最酷 / 跑跑网(马拉松报名),,3500/2500,,未提及,必须,,prwmls@sina.cn,17615191214,王者传奇（北京）体育文化有限公司,,辽宁,A,,2025-05-30 10:00,,❌,和平公园,已结束,辽宁省妇女联合会 / 沈阳市妇女联合会 / 沈阳市体育局 / 沈阳市沈北新区人民政府,2025-06-15 17:40,120/60,报名时缴费,6000,,沈阳沈北蒲河女子半程马拉松,沈阳沈北蒲河女子半程马拉松
全程 / 半程 / 短距离,2025-03-20 15:00,官网/微信/小程序 / 数字心动,,10000/15000/10000,http://www.changchunmarathon.com,,,,ccmarathon@126.com,0431-88655081,厦门文广体育有限公司,2025-04-19 10:48,吉林,A / 标牌,,2025-04-15 18:00,,✔️,,已结束,长春市人民政府 / 吉林省体育局,2025-05-25 13:42,180/150/80,报名时缴费,35000,,长春马拉松,长春马拉松
全程 / 半程,2025-07-04 10:00,官网/微信/小程序 / 数字心动,,15000/20000,https://hrb-marathon.chinaath.com,半程或以上,必须,,hrbmlsbm@163.com,0451-51080606,哈尔滨会展博览有限公司,2025-07-20 00:00,黑龙江,A / 金标 / AIMS,无,2025-07-10 23:59,,✔️,音乐长廊,已结束,黑龙江省体育局 / 哈尔滨市人民政府,2025-08-31 09:44,200/150,中签后缴费,35000,,哈尔滨国际马拉松,哈尔滨马拉松
全程 / 半程 / 短距离,2025-04-17 10:00,官网/微信/小程序,,2000/3000/10000,https://ylhmls.xempower.cn,未提及,自行评估,,ylh-marathon@xempower.com.cn,025-87775902,南京魔盒信息科技有限公司,2025-05-04 15:38,新疆,A,,2025-04-30 18:00,,✔️,七彩广场,已结束,伊宁市人民政府,2025-05-18 11:17,150/120/50,报名时缴费,15000,,伊犁河马拉松,伊犁河马拉松
全程 / 半程 / 10km / 短距离,2025-04-29 14:00,官网/微信/小程序,,6000/12000/3000/14000,http://www.guiyangmarathon.com,半程或以上,自行评估,,guiyang@sport-china.cn,,广东新中体育集团有限公司,2025-05-15 10:43,贵州,A / 精英,（1）已提交报名信息及支付报名费的运动员，可在退费服务截止前，自行在报名系统操作申请退费。（2）抽签结果公布前，申请退赛退费的将不收取任何费用，报名费将在申请后2个工作日内全额原路退回。（3）抽签结果公布后，未中签或审核未通过运动员报名费将在2个工作日内全额原路退回。（4）抽签结果公布后，已中签运动员可在5月30日前在报名页面自行办理退赛退费，在服务截止前退出的退还70%报名费，办理退费后，系统将在2个工作日内将原路退款，5月31日之后不可再退出。,2025-05-12 16:00,,✔️,贵阳国际会议展览中心北广场,已结束,贵州省体育局 / 贵阳市人民政府,2025-06-15 08:55,200/180/100/80,报名时缴费,35000,,贵阳马拉松,贵阳马拉松
全程 / 半程 / 短距离,2025-05-09 10:00,官网/微信/小程序,,2000/5000/8000,https://chuxiongmarathon.chinaath.com,马拉松项目需半程以上完赛经历 / 10km及以上,自行评估,,cxmls@cnsgsports.cn,17787824975,华体赛事（北京）体育管理有限公司,2025-06-23 00:00,云南,A,,2025-06-08 18:00,,✔️,楚雄州文化活动中心,已结束,楚雄市人民政府,2025-07-13 15:58,180/150/80,报名时缴费,15000,,楚雄马拉松,楚雄马拉松
半程 / 短距离,2025-05-29 14:00,官网/微信/小程序 / 第一赛道 / 数字心动,,3500/2500,https://jinxiu.gusto.cn/,半程或以上,自行评估,,jxmarathon@sport-china.cn,,,,广西,B,"1.退赛退费：（1）已提交报名信息及支付的选手，在退改服务期限内，可在订单页面自行办理退费服务。（2）完成缴费后24小时内的报名订单，申请退赛退费的将不收取任何费用，报名费将在申请后1个工作日内全额原路退回。（3）完成缴费后超过24小时的报名订单，申请退赛退费的不论项目均需收取20元/次的服务费，扣除相应服务费后剩余费用在申请后1个工作日内原路退回。
2.改换项目：（1）需要更换项目的选手，在退改服务截止前，可先进行退赛退费操作后，重新报名需改换的项目。（2）从短距离项目改长距离项目者，还须符合长距离项目参赛条件并通过审核后方能获得参赛资格。
3.退改服务期限6月15日18:00退费服务系统关闭，将不再受理任何退费申请。",2025-06-13 10:00,,❌,,已结束,中共金秀瑶族自治县委员会 / 金秀瑶族自治县人民政府,2025-06-29 11:07,120/60,报名时缴费,6000,,金秀半程马拉松,金秀半程马拉松
全程 / 半程 / 短距离,2025-03-20 12:00,官网/微信/小程序 / 数字心动,,10000/10000/10000,http://jilinmarathon.com,未提及,自行评估,,jilinmarathon@126.com,19905197127,,2025-04-18 18:26,吉林,A / 金标,,2025-04-13 18:00,,✔️,,已结束,吉林市人民政府 / 吉林省体育局,2025-05-18 10:03,180/160/80,中签后缴费,30000,,吉林市马拉松,吉林市马拉松
全程 / 半程 / 短距离,2025-02-20 10:00,官网/微信/小程序 / 数字心动,,1200/2300/4500,https://www.jyggreatwallmls.com,未提及,自行评估,,jyggreatwallmls@163.com,0931-8100300,甘肃行者体育管理有限公司,,甘肃,A,无,2025-02-20 13:00,,❌,雄关广场,已结束,嘉峪关市人民政府,2025-06-15 13:29,120/100/60,报名时缴费,8000,,嘉峪关长城马拉松,嘉峪关长城马拉松
全程 / 半程 / 短距离,2025-02-28 10:00,官网/微信/小程序 / 数字心动,,7000/5000/5000,,未提及,自行评估,,,0335-8018279,河北野人体育文化发展有限公司,2025-03-20 16:24,河北,A,无,2025-03-09 17:00,,✔️,秦皇岛奥林匹克体育中心,已结束,秦皇岛市人民政府,2025-05-11 16:49,150/120/0,报名时缴费,17000,,秦皇岛马拉松,秦皇岛马拉松
半程 / 短距离,2025-04-01 10:00,官网/微信/小程序,,4000/2000,,未提及,自行评估,,,,华舰体育赛事发展（山西）有限公司,2025-04-09 15:42,山西,A,,2025-04-07 17:00,,✔️,,已结束,阳泉市体育局 / 平定县人民政府,2025-05-25 11:20,120/50,报名时缴费,6000,,,阳泉娘子关半程马拉松
半程 / 短距离,2025-06-20 10:00,官网/微信/小程序 / 数字心动,,2000/1000,http://linzhimarathon.umaysports.cn,亚高原或海拔1000米以上半程,必须,,linzhimarathon@163.com,19905197127,江苏有迈体育发展股份有限公司,2025-07-10 00:00,西藏,A,,2025-07-06 18:00,,✔️,,已结束,西藏自治区体育局 / 林芝市人民政府,2025-07-27 00:00,180/80,报名时缴费,3000,,有迈路跑,林芝半程马拉松
全程 / 半程 / 短距离,2025-02-08 10:00,官网/微信/小程序,,2000/3000/5000,,未提及,未提及,,2141436164@qq.com,,,,安徽,B,无,2025-03-31 23:59,,❌,,已结束,怀宁县人民政府 / 安庆市教育体育局,2025-05-11 10:41,100/80/30,报名时缴费,10000,,秀莓怀宁,怀宁马拉松
半程 / 短距离,2025-08-04 10:00,数字心动,,3000/7000,,未提及,自行评估,,,18004422098,,,吉林,B,,2025-08-14 17:00,,❌,,已结束,吉林省体育局 / 延边州人民政府,2025-09-07 00:00,120/60,报名时缴费,10000,,和龙半程马拉松、和龙半马,和龙半程马拉松
全程 / 半程 / 短距离,2024-08-24 19:00,官网/微信/小程序 / 马拉马拉,,,https://www.great-wall-marathon.com.cn,未提及,未提及,,info@great-wall-marathon.com.cn,010-63552521,,,天津,AIMS,无,2025-03-01 23:59,,❌,黄崖关长城风景区-正关广场,已结束,北京唯文恒石体育文化有限责任公司 / 丹麦Albatros Adventure Marathons,2025-05-17 09:58,2080,报名时缴费,2500,,GWM长马,黄崖关长城国际马拉松
全程 / 半程 / 短距离,2025-07-04 10:00,数字心动,,2000/3000/4000,,未提及,未提及,,,13875890767,,,湖南,A,9月20日前可退,2025-09-30 18:00,,❌,宁远印山公园,已结束,湖南省体育局 / 永州市人民政府,2025-10-19 00:00,150/100/40,报名时缴费,9000,,宁远九嶷山马拉松,宁远九嶷山马拉松
全程 / 半程 / 短距离,2025-07-25 10:00,官网/微信/小程序,,3000/7000/8000,http://www.rizhaomarathon.com,未提及,自行评估,,rizhaomarathon2025@163.com,0633-7676961,日照体育发展集团有限公司,,山东,B,,2025-08-15 16:00,,❌,人民广场,已结束,日照市人民政府,2025-10-26 00:00,150/120/80,报名时缴费,18000,,日照马拉松,日照马拉松
半程 / 短距离,2025-08-25 10:00,官网/微信/小程序,,7000/5000,https://www.xianghumarathon.com,半程或以上,可用完赛证书,,xianghumarathon@163.com,18922800274,深圳市五环体育产业发展有限公司,2025-09-15 00:00,浙江,A,,2025-08-31 23:59,,✔️,杭州湘湖景区,已结束,杭州市萧山区人民政府,2025-10-19 00:00,120/80,报名时缴费,12000,,杭州湘湖马拉松,杭州湘湖半程马拉松
全程 / 半程 / 短距离,2025-07-30 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷,,6000/12000/12000,https://inanmarathon.iqilu.comj,半程或以上,自行评估,,jinanmarathon@126.com,0531-66661234,山东广播电视台,2025-09-01 00:00,山东,A,无,2025-08-19 18:00,,✔️,大明湖风景名胜区,已结束,山东省体育局 / 济南市人民政府,2025-10-19 00:00,180/150/80,中签后缴费,30000,,济南马拉松,济南（泉城）马拉松
半程,2025-09-26 10:00,数字心动 / 马拉马拉,,9000,,未提及,自行评估,,fangshanhm@126.com,18518148086,,,北京,A,无,2025-10-09 18:00,https://docimg4.docs.qq.com/image/AgAACG-qqCHfaSQ2TxdG7a6YB0in7LgY.png?w=1080&h=1527,✔️,清苑北街,已结束,北京市体育局 / 北京市体育总会 / 北京市房山区人民政府,2025-10-26 00:00,120,报名时缴费,9000,,北京市田径运动协会,北京房山良乡大学城半程马拉松
全程 / 半程 / 短距离,2025-06-23 10:00,官网/微信/小程序 / 数字心动,,15000/18000/7000,http://tymarathon.cn,未提及,自行评估,,taimabaoming@163.com,18835194219,开承体育文化产业（重庆）有限公司,2025-07-22 00:00,山西,A / 金标,无,2025-07-15 23:59,,✔️,五一广场,已结束,山西省体育局 / 太原市人民政府,2025-09-21 09:45,180/150/80,报名时缴费,40000,,太原马拉松,"太原马拉松赛
"
全程 / 半程 / 短距离,2025-05-26 10:00,官网/微信/小程序,,10000/15000/10000,,未提及,必须,,,,,2025-06-10 11:08,山东,A / 金标 / AIMS,无,2025-06-03 17:00,,✔️,,已结束,山东省体育局 / 东营市人民政府,2025-10-19 00:00,150/120/80,中签后缴费,35000,,黄河口东营马拉松赛,黄河口（东营）马拉松
全程 / 半程 / 短距离,2025-07-09 09:00,官网/微信/小程序 / 数字心动,,2000/6000/2000,,未提及,未提及,,brsmarathon@163.com,13260675696,广州博润体育科技有限公司,2025-08-08 00:00,吉林,A,,2025-07-31 18:00,,✔️,查干湖景区南门游客中心,已结束,前郭尔罗斯蒙古族自治县人民政府 / 吉林查干湖旅游经济开发区管委会,2025-09-21 00:00,150/120/80,报名时缴费,10000,,查干湖马拉松,查干湖马拉松
半程 / 短距离,2025-07-15 10:00,数字心动,,12000/8000,,未提及,自行评估,,nxydwltiyu@163.com,,悦动未来（宁夏）体育文化发展有限公司,,宁夏,A,无,2025-08-22 23:59,,✔️,人民广场西街,已结束,中国职工国际旅行社总社 / 宁夏回族自治区总工会 / 宁夏回族自治区体育局 / 银川市人民政府,2025-09-27 00:00,100/50,报名时缴费,20000,,悦动体育运动汇,全国职工半程马拉松赛（银川站）
全程 / 半程 / 短距离,2025-07-10 10:00,官网/微信/小程序 / 第一赛道,,6000/14000/15000,https://linyi.sport-china.cn,全程 / 半程或以上,可用完赛证书,,linyi@gustomail.cn,13866060187,广西新中体育有限责任公司,2025-09-12 00:00,山东,A,8月31日18：00前可退改,2025-08-31 18:00,,✔️,五洲湖,已结束,临沂市人民政府,2025-10-26 00:00,150/120/60,报名时缴费,35000,,临沂体育、2025临沂马拉松、第一赛道,临沂马拉松
半程,2025-07-18 18:00,官网/微信/小程序 / 数字心动,,7000,http://lushanmarathon.umaysports.cn/,未提及,自行评估,,lushanmarathon@163.com,19905197127,庐山文化旅游投资控股集团,,江西,A,,2025-07-27 15:30,,❌,,已结束,九江市人民政府,2025-09-21 00:00,150,报名时缴费,7000,,庐山半程马拉松赛,庐山半程马拉松
半程 / 短距离,2025-07-20 10:00,官网/微信/小程序 / 高德地图,,4000/4000,,未提及,自行评估,,yidumarathon@163.com,027-59266510,南京极致体育发展有限公司,,湖北,B,,2025-09-22 17:00,,❌,宜都市体育场,已结束,宜都市人民政府,2025-10-19 00:00,130/60,报名时缴费,8000,,宜都半程马拉松,宜都半程马拉松
全程 / 半程 / 短距离,2025-07-31 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,15000/16000/4000,https://www.marathonchangsha.com,未提及,自行评估,,csmarathon@126.com,400-8516-999,长沙体育产业经营有限公司,2025-08-27 00:00,湖南,A / 金标 / AIMS,,2025-08-06 17:00,,✔️,杜甫江阁,已结束,长沙市人民政府 / 湖南省体育局,2025-10-26 16:24,200/180/80,报名时缴费,35000,,长沙马拉松,长沙马拉松
半程 / 中距离 / 短距离,2025-08-18 10:00,官网/微信/小程序 / 数字心动,,2000/2000/3000,,未提及,未提及,,wangsifan@horisports.com,19399203619,深圳中赛体育产业发展有限公司,2025-09-29 00:00,兵团,A,,2025-09-19 20:00,,✔️,,已结束,新疆生产建设兵团第二师铁门关市,2025-10-19 00:00,100/60/50,报名时缴费,7000,,铁门关马拉松,铁门关半程马拉松
半程 / 短距离,2025-06-06 10:00,官网/微信/小程序 / 数字心动,,5000/5000,https://www.sichuanbojiesports.com,未提及,必须,,,13529388388,云南博捷体育赛事策划有限公司,2025-07-21 11:11,云南,A,,2025-07-10 22:00,,✔️,,已结束,云南省体育局 / 大理白族自治州人民政府,2025-09-21 11:07,150/60,报名时缴费,10000,,博捷体育,大理小河淌水半程马拉松
全程 / 半程 / 短距离,2025-08-07 10:00,官网/微信/小程序,,2000/4000/4000,,未提及,自行评估,,sh-marathon@xempower.com.cn,025-87775902,南京魔盒信息科技有限公司,2025-09-10 00:00,江苏,A,抽签前可退,2025-08-28 18:00,,✔️,泗洪城南公园停车点,已结束,泗洪县人民政府,2025-10-19 00:00,150/100/30,报名时缴费,10000,,泗洪马拉松,泗洪马拉松
全程 / 半程 / 短距离,2025-08-21 10:00,官网/微信/小程序 / 数字心动,,5000/9000/8000,https://www.xiangyang-marathon.com,未提及,自行评估,,xiangyangmls@163.com,19086319162,广州博润体育科技有限公司,2025-09-10 00:00,湖北,A,无,2025-09-05 18:00,,✔️,诸葛亮广场,已结束,湖北省体育局 / 襄阳市人民政府,2025-10-19 00:00,150/120/30,中签后缴费,22000,,襄阳马拉松,襄阳马拉松
半程 / 短距离,2025-07-23 10:00,官网/微信/小程序 / 数字心动,,8000/2000,,未提及,自行评估,,pingtoutiyu@126.com,4000-66-375,青岛平头体育有限公司,2025-08-12 00:00,山东,B,无,2025-08-08 17:00,,✔️,临朐县体育中心,已结束,临朐县人民政府,2025-10-03 00:00,100/50,报名时缴费,10000,,临朐马拉松暨警察马拉松,临朐半程马拉松
全程 / 半程 / 短距离,2025-07-10 10:00,官网/微信/小程序 / 第一赛道,,3000/5000/4000,https://suizhou.sport-china.cn,半程或以上,可用完赛证书,,suizhou@guatomail.cn,,广东新中体育集团有限公司,2025-08-29 00:00,湖北,A,8月17日前可以退,2025-08-10 18:00,,✔️,,已结束,湖北省体育局 / 随州市人民政府,2025-10-19 00:00,180/150/80,报名时缴费,12000,,随州马拉松、第一赛道,随州马拉松赛
10km / 短距离,2025-08-25 10:00,官网/微信/小程序 / 数字心动,,2000/3000,,未提及,自行评估,https://docimg6.docs.qq.com/image/AgAACG-qqCFQVqykjppF5JfQMiwg19Sw.png?w=912&h=830,aishanpao_run@sina.com,15625671019,广东先奥体育文化传播有限公司,,广东,A / WA,,2025-09-05 20:00,,❌,滨江公园,已结束,中国田径协会 / 揭西县人民政府,2025-10-19 00:00,80/50,报名时缴费,5000,,爱汕跑,中国田径协会10公里精英赛·揭西河婆站
半程 / 10km / 短距离,2025-05-20 11:00,官网/微信/小程序,,3500/5000/3500,https://lohasnet.tw/XinWuMarathon2025/,未提及,未提及,,lohasnet.tw@gmail.com,(886)05-551-0310,,,台湾,AIMS,有,2025-08-31 23:59,,❌,,已结束,桃園市政府,2025-09-28 00:00,NT$8500/600/400,报名时缴费,12000,,,新屋魚米之鄉馬拉松
全程,2025-08-08 10:00,官网/微信/小程序 / 数字心动 / 马拉马拉,,10000,https://www.haidian-marathon.com,半程或以上,自行评估,,haidianmarathon@163.com,18511942195,北京中锐体育产业有限公司,2025-09-07 00:00,北京,A,,2025-08-26 23:59,,✔️,中关村壹号,已结束,北京市体育局 / 北京市海淀区人民政府,2025-10-12 00:00,200,中签后缴费,10000,,海淀马拉松,海淀马拉松
全程 / 半程 / 短距离,2025-07-10 10:00,官网/微信/小程序,,3000/9000/4000,http://nxhhjamarathon.spoorts.cn,未提及,自行评估,,,400-111-1042,浙江中迹体育发展有限公司,,宁夏,A,无,2025-08-18 17:00,,❌,,已结束,宁夏回族自治区体育局 / 吴忠市人民政府,2025-09-21 00:00,160/130/60,报名时缴费,16000,,宁夏黄河金岸吴忠马拉松,宁夏黄河金岸（吴忠）马拉松
全程 / 半程 / 短距离,2025-07-10 15:00,官网/微信/小程序 / 数字心动,,3000/9000/8000,https://weifangmarathon.irunner.mobi,未提及,自行评估,,,,厦门文广体育有限公司,2025-08-06 00:00,山东,A,,2025-07-29 18:00,,✔️,,已结束,潍坊市人民政府,2025-10-19 15:50,180/150/80,报名时缴费,20000,,潍坊马拉松,潍坊马拉松
半程 / 短距离,2025-08-08 09:00,数字心动 / 赛客 / 马拉马拉 / 最酷 / 跑跑网(马拉松报名) / 润赛美佳,,5000/3000,,未提及,自行评估,,,16600484578,天津悦森体育文化发展有限公司,,天津,B,,2025-08-15 17:00,,❌,宝坻体育中心,已结束,天津市宝坻区人民政府,2025-10-01 00:00,120/60,报名时缴费,8000,,悦森文体,潮白湿地半程马拉松
半程 / 短距离,2025-06-18 10:00,官网/微信/小程序,,7000/3000,,未提及,必须,,,,北京初美体育文化发展有限公司,,天津,A,,2025-07-18 12:00,,❌,,已结束,天津市静海区人民政府,2025-09-21 10:41,150/80,,10000,,团泊湖马拉松官方号,天津团泊湖半程马拉松
半程 / 短距离,2025-08-18 10:00,官网/微信/小程序 / 数字心动,,8000/2000/2000,https://hirunsport.cn,未提及,可用完赛证书,,hirunkefu@163.com,18248484836,杭州嗨跑体育管理有限公司,2025-09-10 00:00,浙江,A,9月20日前可退出,2025-08-30 16:00,,✔️,临安人民广场,已结束,杭州市临安区人民政府,2025-10-19 00:00,150/100/80,报名时缴费,12000,,嗨跑体育,杭州临安半程马拉松
半程 / 短距离,2025-08-18 10:00,官网/微信/小程序,,2000/1000,https://fxmarathon.xempower.cn,未提及,自行评估,,fx-marathon@xempower.cn,025-87775902,南京冠奥宝德体育发展有限公司,2025-09-24 00:00,江苏,B,抽签前可退,2025-09-18 17:00,,✔️,果都大观园,已结束,丰县人民政府,2025-10-19 00:00,100/40,报名时缴费,3000,,丰县半程马拉松,丰县半程马拉松
全程 / 半程 / 短距离,2025-08-08 10:00,官网/微信/小程序,,2000/6000/4000,,未提及,必须,,,024-31326115,,2025-09-05 00:00,辽宁,A,,2025-08-31 12:00,,✔️,红海滩国家风景廊道,已结束,辽宁省体育局 / 盘锦市人民政府,2025-09-21 10:41,150/120/50,报名时缴费,12000,,盘锦红马,盘锦红海滩马拉松
