报名渠道,主办单位,报名开启时间,状态,赛事等级,完赛经历要求,出签日期,分项规模,起点,比赛路线,抽签,退出机制,联系电话,赛事,创建时间,官网,总规模,报名费,省份,最后编辑时间,报名截止时间,运营单位,官方邮箱,比赛项目,比赛日期,缴费时间,体检报告,微信公众号,奖牌
官网/微信/小程序,,,待确定,,,,,,,,,,济南（泉城）马拉松,,,,,山东,,,,,,2026-10-18 00:00,,,,
官网/微信/小程序 / 数字心动,长春市人民政府 / 吉林省体育局,2026-03-21 15:00,已结束,A,未提及,2026-04-11 00:00,20000/15000,长春体育中心,,✔️,,0431-88655081,长春马拉松,,http://www.changchunmarathon.com,35000,180/150,吉林,,2026-04-07 18:00,厦门文广体育有限公司,ccmarathon@126.com,全程 / 半程,2026-05-17 13:42,中签后缴费,自行评估,长春马拉松,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,沈阳·康平卧龙湖马拉松,,,,,辽宁,,,,,,2026-08-23 00:00,,,,
官网/微信/小程序,贵州省体育局 / 六盘水市人民政府,2026-05-12 15:00,待开赛,认证中,半程或以上 / 10km及以上,2026-06-02 00:00,8000/16000,贵州省六盘水市广场,,✔️,,0858-8242195,六盘水马拉松,,,24000,198/178,贵州,,2026-05-24 18:00,贵州钟山旅游产业发展有限责任公司,gzlpsmb@163.com,全程 / 半程,2026-07-19 00:00,中签后缴费,自行评估,凉都六盘水马拉松,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,宁夏沙坡头半程马拉松赛,,,,,宁夏,,,,,,2026-08-30 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,水富半程马拉松,,,,,云南,,,,,,2026-10-18 00:00,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,可克达拉半程马拉松,,,,,兵团,,,,,,2026-09-05 00:00,,,,
官网/微信/小程序 / 汇跑参赛助手,西宁市人民政府 / 西宁市城西区人民政府,2026-04-14 10:00,待开赛,A,10km及以上,2026-05-11 00:00,12000,青海体育中心,,✔️,,028-86042195,西宁半程马拉松,,,12000,150,青海,,2026-04-30 22:00,广州万达体育发展有限公司,xnhalfmarathon@163.com,半程,2026-06-28 00:00,报名时缴费,自行评估,2026西宁半程马拉松、西宁半程马拉松,
官网/微信/小程序 / 第一赛道 / 京东go,贵州省体育局 / 贵阳市人民政府,2026-04-08 10:00,待开赛,A / 精英,半程或以上 / 10km及以上,2026-05-08 00:00,10000/15000,贵阳国际会议展览中心北广场,,✔️,5月25日（含）前可退出,,贵阳马拉松,,http://www.guiyangmarathon.com,25000,200/180,贵州,,2026-04-29 23:59,广东新中体育集团有限公司,guiyang@sport-china.cn,全程 / 半程,2026-06-14 00:00,中签后缴费,自行评估,贵阳马拉松,
官网/微信/小程序,,,待确定,,,,,,,,,,宜都半程马拉松,,,,,湖北,,,,,,2026-10-11 00:00,,,,
官网/微信/小程序,,,待确定,金标 / AIMS / CMM,,,,,,,,,北京马拉松,,,,,北京,,,,,全程,2026-10-18 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,庐山半程马拉松,,,,,江西,,,,,,2026-09-26 00:00,,,,
官网/微信/小程序 / 数字心动,中国田径协会 / 怒江州人民政府,2026-02-03 10:00,已结束,A / WA,未提及,,3000/3000,雪山路,,❌,无,13529388388,中国田径协会10公里精英赛（怒江·泸水）,,,6000,100/80,云南,,2026-04-10 22:00,云南博捷体育赛事策划有限公司,,10km / 短距离,2026-05-03 00:00,报名时缴费,未提及,博捷体育,
官网/微信/小程序,,,待确定,,,,,,,,,,天津团泊湖半程马拉松,,,,,天津,,,,,,2026-09-27 00:00,,,,
官网/微信/小程序 / 数字心动 / 马拉马拉 / 润赛美佳 / 最酷,威海市体育局 / 乳山市人民政府,2026-03-25 10:00,已结束,B,10km及以上,,5000,银滩滨海旅游度假区-大拇指广场,,❌,,15501042195,乳山半程马拉松,,https://rushan.marathon.org.cn,5000,120,山东,,2026-04-20 15:00,王者传奇（北京）体育文化有限公司,liren18marathon@163.com,半程,2026-05-17 00:00,报名时缴费,自行评估,王者传奇体育,
数字心动,北京市大兴区人民政府,2026-03-12 10:00,已结束,A,10km及以上,2026-03-28 00:00,5500,魏庄南路,,✔️,,010-53383535,北京大兴半程马拉松,,,5500,120,北京,,2026-03-18 18:00,北京双奥体育文化产业集团有限公司,shuangao11@163.com,半程,2026-05-17 00:00,中签后缴费,自行评估,首善之地魏善庄,
数字心动,高平市人民政府,2026-03-13 10:00,已结束,B,半程或以上 / 10km及以上,,4000/6000,高平经济技术开发区台湾产业园,,❌,,0351-6933111,高平马拉松赛,,,10000,120/100,山西,,2026-04-01 18:00,,,全程 / 半程,2026-05-02 00:00,报名时缴费,自行评估,高平市体育总会,
官网/微信/小程序 / 润赛美佳,中共宝清县委 / 宝清县人民政府,2026-03-16 10:00,已结束,B,半程或以上 / 10km及以上,2026-05-06 00:00,2000/4000,宝清县文化创意中心,,✔️,,18945189663,宝清马拉松,,https://www.baoqingmarathon.com,6000,150/120,黑龙江,,2026-04-30 20:00,,bqmls@centurysports.com.cn,全程 / 半程,2026-05-31 00:00,报名时缴费,自行评估,宝清马拉松,
官网/微信/小程序,,,待确定,,,,,,,,,,海淀马拉松,,,,,北京,,,,,,2026-10-11 00:00,,,,
官网/微信/小程序 / 数字心动,于都县人民政府 / 赣州市体育局,2026-03-30 15:00,已结束,B,10km及以上,2026-04-14 00:00,10000,中央红军长征集结出发地纪念园,,✔️,,,于都半程马拉松,,,10000,128,江西,,2026-04-10 15:00,,yudumalasong@126.com,半程,2026-04-26 00:00,报名时缴费,自行评估,于都教体局、于都发布,
官网/微信/小程序,,,待确定,,,,,,,,,,聊城半程马拉松,,,,,山东,,,,,,2026-09-27 00:00,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,拉萨半程马拉松,,,,,西藏,,,,,,2026-08-23 00:00,,,,
官网/微信/小程序,襄阳市人民政府,2026-02-11 15:00,已结束,A,10km及以上,,8000,宜城市楚都文化中心,,❌,,027-59266510,宜城半程马拉松,,,8000,130,湖北,,2026-03-26 17:00,武汉锋尚体育发展有限公司,ycbcmls@163.com,半程,2026-04-26 00:00,报名时缴费,自行评估,宜城半程马拉松,
官网/微信/小程序 / 数字心动,中国田径协会 / 大冶市人民政府,2026-03-27 10:00,已结束,A / WA,未提及,,3000/7000,大冶市会展中心-西门,,❌,无,15607161178,中国田径协会10公里精英赛（湖北·大冶）,,,10000,100/50,湖北,,2026-04-14 23:59,,2943740296@qq.com,10km / 短距离,2026-05-03 00:00,报名时缴费,自行评估,大冶体育,
官网/微信/小程序,,,待确定,金标 / AIMS,,,,,,,,,黄河口（东营）马拉松,,,,,山东,,,,,全程 / 半程,2026-10-18 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,杭州湘湖半程马拉松,,,,,浙江,,,,,,2026-10-18 00:00,,,,
官网/微信/小程序 / 数字心动,红河哈尼族彝族自治州人民政府,2026-03-23 10:00,已结束,A,未提及,2026-04-24 00:00,15000,弥勒文体中心,,✔️,,13529388388,弥勒半程马拉松,,https://sichuanbojiesports.com,15000,150,云南,,2026-04-13 22:00,四川博捷体育文化传播有限公司,,半程,2026-05-24 00:00,报名时缴费,必须,博捷体育、弥勒半程马拉松,
官网/微信/小程序,,,待确定,,,,,,,,,,潮白湿地半程马拉松,,,,,天津,,,,,,2026-10-01 00:00,,,,
官网/微信/小程序,伊犁哈萨克自治州体育局 / 伊宁市人民政府,2026-03-06 10:00,已结束,A,半程或以上 / 10km及以上,2026-04-10 00:00,2000/4000,七彩广场,,✔️,,025-87775902,伊犁河马拉松,,https://ylhmls.xempower.cn,6000,150/120,新疆,,2026-03-31 18:00,南京魔盒信息科技有限公司,ylh-marathon@xempower.com.cn,全程 / 半程,2026-04-26 00:00,报名时缴费,自行评估,伊犁河马拉松,
官网/微信/小程序,,,待确定,,,,,,,,,,随州马拉松赛,,,,,湖北,,,,,,2026-10-18 00:00,,,,
官网/微信/小程序 / 数字心动,贵州省体育局 / 安顺市人民政府,2026-04-30 15:00,待开赛,精英 / A,10km及以上,2026-05-28 00:00,6000,镇宁自治县政务服务中心,,✔️,,13529388388,贵州·镇宁黄果树半程马拉松,,https://sichuanbojiesports.com,6000,200,贵州,,2026-05-18 22:00,四川博捷体育文化传播有限公司,,半程,2026-06-28 00:00,报名时缴费,必须,黄果树半程马拉松、博捷体育,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,新屋魚米之鄉馬拉松,,,,,台湾,,,,,半程 / 10km / 短距离,2026-10-04 00:00,,,,
官网/微信/小程序 / 数字心动,临泽县人民政府,2026-03-31 10:00,待出签,A,半程或以上 / 10km及以上,,2000/4000,七彩镇,,✔️,,0931-8100500,临泽马拉松,,,6000,150/120,甘肃,,2026-05-31 10:00,,linzemls@163.com,全程 / 半程,2026-06-28 00:00,报名时缴费,自行评估,临泽马拉松,
官网/微信/小程序,甘肃省体育局 / 兰州市人民政府,2026-02-26 10:00,已结束,A / 金标 / AIMS,半程或以上 / 10km及以上,2026-03-06 00:00,25000/8000,兰州奥体中心,,✔️,有候补和退出,0931-8433220,兰州马拉松,,http://lzmarathon.com,33000,200/180,甘肃,,2026-03-04 17:00,北京中迹体育管理有限公司,lanmazuweihui@163.com,全程 / 半程,2026-05-24 00:00,中签后缴费,自行评估,兰州马拉松,
官网/微信/小程序 / 数字心动,金昌市人民政府,2026-06-10 10:00,待确定,,10km及以上,,5000,人民文化广场,,✔️,,0931-7788388,金昌半程马拉松,,https://jinchangmarathon.cn,5000,120,甘肃,,2026-07-31 23:59,甘肃行者体育管理有限公司,jcbcmls@126.com,半程,2026-09-06 00:00,报名时缴费,自行评估,,
官网/微信/小程序,,,待确定,,,,,,,,,,北京房山良乡大学城半程马拉松,,,,,北京,,,,,,2026-09-27 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,重庆两江摇滚半程马拉松,,,,,重庆,,,,,,2026-10-17 00:00,,,,
官网/微信/小程序,湖南省体育局 / 长沙市人民政府,2026-03-05 10:00,已结束,A,10km及以上,2026-03-26 00:00,15000,,,✔️,,0731-82566433,湘江半程马拉松赛,,http://hnxjty.saihuitong.com/m/event?id=810601,15000,150,湖南,,2026-03-12 10:00,湖南博森体育管理有限公司,,半程,2026-04-26 00:00,报名时缴费,自行评估,湘江半程马拉松,
官网/微信/小程序,,,待确定,,,,,,,,,,榆林马拉松,,,,,陕西,,,,,,2026-09-26 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,泰州马拉松,,,,,江苏,,,,,,2026-10-18 00:00,,,,
官网/微信/小程序 / 润赛美佳 / 数字心动,嘉峪关市人民政府,2026-03-20 10:00,待开赛,A,半程或以上 / 10km及以上,2026-04-12 00:00,2000/5000,雄关广场,,✔️,无,0931-8100300,嘉峪关长城马拉松,,https://www.jyggreatwallmls.com,7000,150/120,甘肃,,2026-04-05 18:00,甘肃行者体育管理有限公司,jyggreatwallmls@163.com,全程 / 半程,2026-06-21 00:00,报名时缴费,自行评估,嘉峪关长城马拉松,
官网/微信/小程序 / 数字心动,大理州人民政府,2026-02-14 13:14,已结束,A,半程或以上 / 10km及以上,2026-04-28 00:00,2000/10000,全民健身中心,,✔️,,0871-65629970,澜沧江-湄公河合作大理马拉松,,https://lmcdm.saihuitong.com,12000,200/150,云南,,2026-04-19 23:59,云南行知探索体育文旅产业有限公司,lmcdm2023@163.com,全程 / 半程,2026-05-17 00:00,报名时缴费,自行评估,澜湄合作大理马拉松LMCDM,
官网/微信/小程序,,,待确定,,,,,,,,,,铁门关半程马拉松,,,,,兵团,,,,,,2026-10-18 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,延安红色半程马拉松,,,,,陕西,,,,,,2026-09-27 00:00,,,,
官网/微信/小程序 / 数字心动,资溪县人民政府 / 抚州市教育体育局,2026-03-18 10:00,已结束,A,10km及以上,2026-04-21 00:00,4000,资溪面包广场,,✔️,无,17770025532,大觉山半程马拉松,,,4000,120,江西,,2026-04-15 23:59,,,半程,2026-05-10 00:00,报名时缴费,自行评估,大觉山马拉松,
官网/微信/小程序 / 马拉马拉,北京唯文恒石体育文化有限责任公司,2025-10-22 22:00,已结束,AIMS,未提及,,-,黄崖关长城风景区-正关广场,,❌,"由于参赛选手自身原因不能参加比赛的，根据如下政策收取取消费：
1) 赛前80天 , 20% 取消费;
2) 赛前79—64天 , 40% 取消费;
3) 赛前63—47天 , 60% 取消费;
4) 赛前46—30天 , 80% 取消费;
5) 赛前30天内取消无退款。",010-63552521,黄崖关长城国际马拉松,,https://www.great-wall-marathon.com.cn,2500,2080,天津,,2026-04-16 22:00,,booking@great-wall-marathon.com.cn,全程 / 半程 / 短距离,2026-05-16 00:00,报名时缴费,未提及,GWM长马,
官网/微信/小程序 / 数字心动,宁夏回族自治区体育局 / 宁夏贺兰山东麓葡萄酒产业园区管委会 / 银川市人民政府,2026-03-30 10:00,已结束,A,未提及,2026-04-20 00:00,8000/17000,人民广场西街,,✔️,,19995196281,宁夏银川马拉松赛,,,25000,180/150,宁夏,,2026-04-16 18:00,厦门文广体育有限公司,yinchuanmls@163.com,全程 / 半程,2026-05-17 00:00,报名时缴费,自行评估,银川马拉松,
官网/微信/小程序,,,待确定,金标,,,,,,,,,"太原马拉松赛
",,,,,山西,,,,,全程 / 半程,2026-09-27 00:00,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,巴东野三关半程马拉松,,,,,湖北,,,,,,2026-08-16 00:00,,,,
官网/微信/小程序 / 数字心动 / 第一赛道,奎屯市人民政府 / 第七师胡杨河市人民政府,2026-03-26 10:00,已结束,A,10km及以上,,8000,奎屯体育中心,,❌,,,新疆奎屯兵地融合半程马拉松,,https://kuitun.gusto.cn,8000,120,新疆,,2026-04-20 10:00,,kuitun@sport-china.cn,半程,2026-05-02 00:00,报名时缴费,自行评估,第一赛道、奎屯马拉松,
官网/微信/小程序 / 数字心动,西藏自治区体育局 / 林芝市人民政府,2026-05-31 10:00,报名中,认证中,10km及以上 / 亚高原完赛记录,2026-07-01 00:00,4000,工布公园,,✔️,,19905197127,林芝半程马拉松,,http://linzhimarathon.umaysports.cn,4000,180,西藏,,2026-06-28 18:00,,linzhimarathon@163.com,半程,2026-07-26 00:00,报名时缴费,自行评估,有迈路跑,
官网/微信/小程序 / 数字心动 / 润赛美佳,凉山彝族自治州人民政府,2026-05-28 10:00,报名中,,半程或以上 / 10km及以上,,6000/14000,,,❌,,18008053490,西昌邛海湿地马拉松,,,20000,200/180,四川,,2026-06-30 18:00,成都中体大健康体育文化传播有限公司,ztdjkgs@163.com,全程 / 半程,2026-11-07 00:00,报名时缴费,必须,西昌邛海湿地马拉松,
官网/微信/小程序,,,待确定,,,,,,,,,,合肥马拉松,,,,,安徽,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,黄冈半程马拉松,,,,,湖北,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,常德柳叶湖马拉松,,,,,湖南,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,顺德半程马拉松,,,,,广东,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序 / 数字心动 / 马拉马拉,成都市人民政府,2026-06-10 10:00,报名中,标牌 / AIMS,半程或以上 / 10km及以上,,25000/10000,金沙遗址博物馆,,✔️,有,15652022602,成都马拉松,,http://chengdumarathon.cn,35000,200/200,四川,,2026-06-24 18:00,红星传媒（成都）有限公司 / 中奥路跑(北京)体育管理有限公司,support@chengdumarathon.cn,全程 / 半程,2026-10-25 00:00,中签后缴费,自行评估,成都马拉松,
官网/微信/小程序 / 数字心动,济宁市体育局 / 济宁太白湖新区管理委员会,2026-05-18 10:00,报名中,,10km及以上,,10000,,,❌,,15166776268,济宁太白湖半程马拉松,,https://ipaohui.cn,10000,120,山东,,2026-06-21 18:00,,ipaohui@126.com,半程,2026-10-25 00:00,,自行评估,太白湖马拉松、爱跑汇,
官网/微信/小程序,,,待确定,,,,,,,,,,富川马拉松,,,,,广西,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,金山平湖半程马拉松,,,,,上海,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,宁远九嶷山马拉松,,,,,湖南,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,長榮航空馬拉松 ,,,,,台湾,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,天目湖马拉松,,,,,江苏,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,怀柔长城马拉松,,,,,北京,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序 / 数字心动 / 跑跑网,烟台市人民政府,2026-05-20 13:14,报名中,认证中,10km及以上 / 半程或以上,2026-06-30 00:00,7000/15000,烟台滨海广场,,✔️,,0535-6936633,烟台马拉松,,,22000,200/160,山东,,2026-06-20 23:59,烟台永辉体育发展有限公司,,全程 / 半程,2026-11-01 00:00,中签后缴费,自行评估,永辉体育,
官网/微信/小程序,,,待确定,,,,,,,,,,宝鸡马拉松,,,,,陕西,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,重庆（长嘉汇）半程马拉松,,,,,重庆,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,精英,,,,,,,,,常州西太湖半程马拉松,,,,,江苏,,,,,半程,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,日月潭環湖馬拉松,,,,,台湾,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,环蠡湖半程马拉松,,,,,江苏,,,,,半程,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,马鞍山·采石矶半程马拉松,,,,,安徽,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,高淳马拉松,,,,,江苏,,,,,全程 / 半程,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,崇左马拉松,,,,,广西,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,襄阳马拉松,,,,,湖北,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,滁州马拉松,,,,,安徽,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,贺州半程马拉松,,,,,广西,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,自贡市荣县大佛半程马拉松,,,,,四川,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,衡阳马拉松,,,,,湖南,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,招远黄金马拉松,,,,,山东,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,金标,,,,,,,,,上海10公里精英赛,,,,,上海,,,,,10km,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,精英,,,,,,,,,南京马拉松,,,,,江苏,,,,,全程,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,扬州高邮大运河半程马拉松赛,,,,,江苏,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,普洱墨江半程马拉松,,,,,云南,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,兴安灵渠半程马拉松,,,,,广西,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,重庆涪陵白鹤梁半程马拉松,,,,,重庆,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,泗洪马拉松,,,,,江苏,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,重庆开州汉丰湖马拉松,,,,,重庆,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,桐庐半程马拉松,,,,,浙江,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,光谷马拉松,,,,,湖北,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,台灣米倉田中馬拉松,,,,,台湾,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,郴州马拉松,,,,,湖南,,,,,,2026-11-07 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,眉山东坡马拉松,,,,,四川,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序 / 第一赛道,临沂市人民政府,2026-06-01 14:00,报名中,,半程或以上 / 10km及以上,2026-07-30 00:00,6000/20000,五洲湖广场,,✔️,7月20日18点前可退,,临沂马拉松,,https://linyi.sport-china.cn,26000,180/150,山东,,2026-07-20 18:00,广东新中体育集团有限公司,linyi@gustomail.cn,全程 / 半程,2026-11-01 00:00,报名时缴费,自行评估,临沂体育、2026临沂马拉松、第一赛道,
官网/微信/小程序,,,待确定,AIMS,,,,,,,,,长沙马拉松,,,,,湖南,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,新余仙女湖马拉松,,,,,江西,,,,,全程 / 半程,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,池州马拉松,,,,,安徽,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,建德马拉松,,,,,浙江,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,南昌赣江半程马拉松,,,,,江西,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,杭州钱塘女子半程马拉松,,,,,浙江,,,,,半程,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,威海半程马拉松,,,,,山东,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,北京昌平马拉松,,,,,北京,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,乐山双遗马拉松,,,,,四川,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,金标 / AIMS,,,,,,,,,杭州马拉松,,,,,浙江,,,,,全程 / 半程,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,罗城半程马拉松,,,,,广西,,,,,,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,南昌马拉松,,,,,江西,,,,,全程 / 半程,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,宜昌马拉松,,,,,湖北,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,锡山宛山湖马拉松,,,,,江苏,,,,,全程,2026-11-08 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,连云港·连岛半程马拉松赛,,,,,江苏,,,,,,2026-10-25 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,上海长滩半程马拉松,,,,,上海,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,淮南马拉松,,,,,安徽,,,,,,2026-11-01 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,腾冲马拉松,,,,,云南,,,,,,2026-11-02 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,婺源马拉松,,,,,江西,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序 / 上马,上海市体育总会 / 上海市黄浦区人民政府 / 上海市静安区人民政府 / 上海市徐汇区人民政府 / 东浩兰生（集团）有限公司,2026-04-29 15:00,待出签,白金 / AIMS,未提及,2026-06-30 00:00,30000,外滩金牛广场,,✔️,无,400-101-5879,上海马拉松,,https://www.shang-ma.com,30000,200,上海,,2026-05-29 12:00,上海东浩兰生赛事管理有限公司,general@shmarathon.com,全程,2026-12-06 17:08,中签后缴费,未提及,上马,
官网/微信/小程序,,,待确定,金标 / AIMS / CMM,,,,,,,,,广州马拉松,,,,,广东,,,,,全程,2026-12-20 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,义乌半程马拉松,,,,,浙江,,,,,半程,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,阳江海陵岛马拉松,,,,,广东,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,横琴马拉松,,,,,广东,,,,,,2026-12-27 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,佛山高明稻田马拉松,,,,,广东,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,重庆半程马拉松,,,,,重庆,,,,,,2026-12-20 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,雅安雨城半程马拉松,,,,,四川,,,,,,2026-12-27 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,千岛湖马拉松,,,,,浙江,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序,,,待确定,认证中,,,,,,,,,沈阳皇姑半程马拉松,,,,,辽宁,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,永定土楼半程马拉松,,,,,福建,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,重庆璧山马拉松,,,,,重庆,,,,,,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,精英,,,,,,,,,南宁马拉松,,,,,广西,,,,,全程 / 半程,2026-12-20 00:00,,,,
官网/微信/小程序,,,待确定,标牌,,,,,,,,,桂林马拉松,,,,,广西,,,,,全程 / 半程,2026-11-15 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,重庆忠县马拉松,,,,,重庆,,,,,,2026-12-06 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,六安马拉松,,,,,安徽,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,兰州新区半程马拉松,,,,,甘肃,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,衢州马拉松,,,,,浙江,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,深圳南山半程马拉松,,,,,广东,,,,,,2026-12-20 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,海南儋州马拉松,,,,,海南,,,,,,2026-12-20 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,温州马拉松,,,,,浙江,,,,,,2026-12-06 00:00,,,,
官网/微信/小程序,,,待确定,金标 / AIMS,,,,,,,,,深圳马拉松,,,,,广东,,,,,全程,2026-12-06 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,武夷山马拉松,,,,,福建,,,,,,2026-11-29 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,海南东方半程马拉松,,,,,海南,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,上合昆明马拉松,,,,,云南,,,,,,2026-12-06 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,宁夏贺兰山东麓葡萄酒产区半程马拉松路跑双季赛（金秋赛）,,,,,宁夏,,,,,,,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,珠海马拉松,,,,,广东,,,,,,2026-12-06 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,长荡湖马拉松,,,,,江苏,,,,,,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,精英,,,,,,,,,中国-东盟马拉松,,,,,广西,,,,,全程 / 半程,2026-11-22 00:00,,,,
官网/微信/小程序,,,待确定,,,,,,,,,,临汾半程马拉松,,,,,山西,,,,,,,,,,
