分项规模,报名费,创建人,创建时间,官网,状态,省份,赛事等级,主办单位,报名开启时间,官方邮箱,奖牌,微信公众号,联系电话,开赛日期,最后编辑人,比赛项目,抽签,出签日期,运营单位,总规模,起点,最后编辑时间,赛事名称,比赛路线,报名截止时间
2000/4000/4000,180/150/60,,,,已结束,贵州,A2,贵州省体育局 / 铜仁市人民政府,2024-09-14 10:00,,,,13529388388,2024-11-24 00:00,,全程 / 半程 / 短距离,❌,,四川博捷体育文化传播有限公司,10000,八官溪,,贵州铜仁·梵净山冬季马拉松,,2024-10-20 22:00
20000/5000,160/80,,,https://www.xiamenhuandongmarathon.com,已结束,福建,A1,厦门市人民政府,2024-08-29 10:00,,,厦门环东半程马拉松赛,0592-3660069,2024-12-22 13:47,,半程 / 短距离,✔️,2024-11-01 13:54,厦门体育产业集团赛事运营有限公司,25000,美峰体育公园,,厦门环东半程马拉松赛,,2024-10-25 10:00
1600/4800/5600,MOP400/400/70,,,https://www.macaomarathon.com,已结束,澳门,AAMC / AIMS,澳门特别行政区体育局 / 银河娱乐集团 / 澳门田径总会,2024-09-28 14:00,macaomarathon@sport.gov.mo,,澳门体育,(853)28236363,2024-12-01 09:04,,全程 / 半程 / 短距离,❌,,,12000,百老汇中心,,澳门国际马拉松,,2024-09-29 22:00
20000,198,,,https://www.szns-marathon.com,已结束,广东,A1 / 标牌,深圳市南山区人民政府,2024-10-18 15:00,sznsmarathon@crland.com.cn,,深圳南山半程马拉松,0755-86308879,2024-12-15 23:28,,半程 / 短距离,✔️,2024-11-07 16:19,华润文化体育发展有限公司,20000,深圳人才公园-东门,,深圳南山半程马拉松,,2024-10-29 18:00
1000/2000,100/50,,,,已结束,广西,B类,深圳市南山区人民政府 / 桂林市体育局 / 资源县人民政府,2024-10-23 10:00,xyzsmls@163.com,,润赛,13632711859,2024-11-23 00:00,,半程 / 短距离,❌,,深圳市五环体育产业发展有限公司 / 深圳市南山文化体育产业有限公司,3000,资源县人民政府,,资源半程马拉松,,2024-11-07 23:59
10000/5000,200/160,,,http://www.carmmarathon.cn,已结束,江苏,A1,中国田径协会 / 常州市人民政府,2024-11-04 10:00,carmmarathon@163.com,"https://docimg7.docs.qq.com/image/AgAACG-qqCGQgwq0N85HFZOzlCqQ8PXp.png?w=801&h=1424, https://docimg1.docs.qq.com/image/AgAACG-qqCGwrVPOoElBzbrLtmplY-Gy.png?w=608&h=1080",中国马拉松精英排名赛,19905197127,2024-12-08 09:23,,全程 / 半程,✔️,2024-11-20 09:47,江苏有迈体育发展股份有限公司,15000,金山南路与河海大道交叉口,,中国马拉松精英排名赛暨长荡湖马拉松,,2024-11-15 23:59
3500/2500,120/60,,,http://luocheng.sport-china.cn,已结束,广西,B类,罗城仫佬族自治县人民政府 / 河池市文化广电体育和旅游局 / 中共罗城仫佬族自治县委员会,2024-09-28 14:00,luocheng@gustomail.cn,,罗城半程马拉松,,2024-11-24 16:36,,半程 / 短距离,❌,,武汉艾斯未来文化传媒有限公司,6000,,,罗城半程马拉松,,2024-10-31 18:00
3000/6000/6000,120/100/50,,,,已结束,安徽,精英,安徽省体育局 / 池州市人民政府,2024-04-25 10:00,chizhoumarathon@163.com,,池州马拉松,,2024-11-24 00:00,,全程 / 半程 / 短距离,✔️,2024-06-12 10:52,安徽波动体育文化科技有限公司,15000,平天湖莲花台,,池州马拉松,,2024-05-25 23:59
5000/7000/8000,180/180/100,,,https://jiangmen.sport-china.cn/,已结束,广东,B类,江门市人民政府,2024-09-26 14:00,jiangmen@gustomail.cn,,江门马拉松、第一赛道,,2024-12-15 14:13,,全程 / 半程 / 短距离,✔️,2024-11-05 16:49,路越（上海）体育发展有限公司,20000,,,江门马拉松,,2024-10-31 18:00
4000/11000/5000,180/150/70,,,https://www.wzim.org,已结束,浙江,A1,浙江省体育局 / 温州市人民政府,2024-10-24 10:00,wzim2021@163.com,,温州马拉松,0577-88868108,2024-12-08 13:53,,全程 / 半程 / 短距离,❌,,浙江青鸟捷出体育科技有限公司,20000,,,温州马拉松,,2024-11-15 17:00
15000/20000/15000,180/150/90,,,,已结束,福建,A1 / 精英,福州市人民政府,2024-09-20 10:00,fuma20231217@126.com,,福州马拉松,0591-38875137,2024-12-15 14:09,,全程 / 半程 / 短距离,✔️,2024-10-21 13:23,福建省广播影视文化传媒有限公司,50000,福州五一广场,,福州马拉松,,2024-09-29 17:00
2000/3000/5000,150/100/50,,,,已结束,江西,A1,九江市人民政府,2024-10-23 18:00,gqcmarathon@163.com,,,19905197127,2024-11-24 00:00,,全程 / 半程 / 短距离,❌,,,10000,青春不夜城,,共青城马拉松,,2024-11-08 23:59
4000/10000/9000,188/158/80,,,,已结束,广东,B类,肇庆市人民政府,2024-09-25 10:00,zhaoqingmls@126.com,,肇庆马拉松,15814562376,2024-11-24 00:00,,全程 / 半程 / 短距离,✔️,2024-10-30 09:20,广州博润体育科技有限公司,23000,朝天门,,肇庆马拉松,,2024-10-15 10:00
3000/7000/10000,150/150/80,,,https://guangan.marathon.org.cn,已结束,四川,A1,广安市人民政府,2024-10-08 09:00,guanganmarathon@163.com,,,0826-2966533,2024-11-23 17:45,,全程 / 半程 / 短距离,❌,,,20000,,,广安马拉松赛,,2024-11-10 23:59
4000/11000/4000/9000,150/120/80/70,,,http://www.hmarathon.com/,已结束,浙江,B类,东阳市人民政府 / 横店集团,2024-09-13 10:00,hmarathon@bothrun.com,https://docimg1.docs.qq.com/image/AgAACG-qqCH0a4c7VR5M0o7CwcBrFXry.png?w=1080&h=608,横店马拉松,0579-89300968,2024-11-24 00:00,,全程 / 半程 / 中距离 / 短距离,❌,,浙江横店体育发展有限公司,28000,横店明清宫苑,,横店马拉松,,2024-11-01 10:00
3000/8000/5000,150/120/70,,,,已结束,湖南,A1,湖南省体育局 / 衡阳市人民政府,2024-10-13 10:00,,,,,2024-12-08 10:52,,全程 / 半程 / 短距离,❌,,湖南大众体育文化发展有限公司,16000,衡阳市体育中心(衡州大道店),,衡阳马拉松,,2024-10-31 10:00
7000,120,,,,已结束,重庆,A1,中国田径协会 / 重庆市体育局 / 重庆市南岸区人民政府,2024-09-06 10:00,cmsports@163.com,,重马体育、中国10公里精英赛,023-62898882,2024-11-30 17:25,,10km,❌,,重庆重马体育发展有限公司,7000,东原1891B馆,,中国田径协会10公里精英赛（重庆站）暨重庆10公里挑战赛,,2024-10-31 10:00
2000/4000/6000,150/120/60,,,,已结束,重庆,B类,重庆市忠县人民政府 / 四川省田径协会 / 重庆市田径协会,2024-09-11 08:00,,,长江三峡马拉松,17316784625,2024-12-01 13:18,,全程 / 半程 / 短距离,❌,,重庆云动风行体育文化传播有限公司,12000,临江公园,,重庆忠县马拉松,,2024-11-11 23:59
3000/5000/7000,160/130/50,,,,已结束,福建,B类,福建省体育局 / 南平市人民政府,2024-10-24 10:00,,,武夷山文体旅,19105993016,2024-12-22 00:00,,全程 / 半程 / 短距离,❌,,,15000,三姑度假区,,武夷山马拉松赛,,2024-11-28 12:00
3000/7000/5000,200/200/120,,,https://hirunsport.cn,已结束,浙江,B类,淳安县人民政府 / 浙江省马拉松及路跑协会,2024-09-10 10:00,hirunkefu@163.com,,嗨跑体育,18248484836,2024-12-01 10:27,,全程 / 半程 / 短距离,❌,,杭州嗨跑体育管理有限公司,15000,千岛湖秀水广场,,千岛湖马拉松,,2024-10-09 18:00
3000,100,,,,已结束,江苏,A1,中国田径协会 / 扬州市人民政府,2024-11-17 09:00,,,扬州马拉松,0514-80590200,2024-12-15 10:10,,10km,❌,,江苏飞睿体育文化发展有限公司,3000,金太村,,中国田径协会10公里精英赛 扬州站,https://docimg2.docs.qq.com/image/AgAACG-qqCFZAYfgridDe6JgVk10F2hE.png?w=1080&h=763,2024-12-06 22:00
9000/19000,NT2000/1400,,,https://www.taipeicitymarathon.com/,已结束,台湾,CTAA / 金标 / AIMS,"臺北市政府 / ""中華民國田徑協會"" / ""中華民國路跑協會""",2024-07-16 16:00,service@sportsnet.org.tw,,,(886)02-25855659,2024-12-15 08:52,,全程 / 半程,✔️,2024-07-31 08:57,,28000,逸仙名宫,,臺北馬拉松,"https://docimg1.docs.qq.com/image/AgAACG-qqCEpSlWd1ddCTr9Qx_tNfU6q.jpeg?w=1600&h=1134, https://docimg3.docs.qq.com/image/AgAACG-qqCFIDhnhqpVHloLtbZ_h-q6Z.jpeg?w=1600&h=1134",2024-09-11 12:00
5000/3000,120/60,,,http://dongfang-halfmarathon.mararun.com/,已结束,海南,A1,东方市人民政府,2024-10-10 10:00,dongfangmarathon@126.com,,海南东方半程马拉松,19389868037,2024-12-01 00:00,,半程 / 短距离,❌,,海南今燊体育文化发展有限公司,8000,东方市文化广场-东门,,海南东方半程马拉松,,2024-11-03 17:00
3000/5000/12000,150/120/80,,,http://www.quzhoumarathon.cn,已结束,浙江,B类 / 标牌,衢州市人民政府,2024-09-04 10:00,quzhoumarathon@163.com,,衢马,15157000884,2024-11-24 23:27,,全程 / 半程 / 短距离,❌,,江苏铁人体育文化发展有限公司,20000,,,衢州马拉松,,2024-10-01 00:00
9000/5000,140/70,,,http://humen.gusto.cn,已结束,广东,B类,东莞市虎门镇人民政府,2024-09-23 14:00,humen@gustomail.cn,,虎门半程马拉松,,2024-11-24 15:49,,半程 / 短距离,✔️,2024-10-23 15:53,,14000,虎门公园,,虎门半程马拉松赛,,2024-10-16 23:59
6000/1000/1000,120/60/30,,,,已结束,浙江,A1,温州市体育局 / 苍南县人民政府,2024-12-03 10:00,cnhxim@163.com,,苍南马拉松,0577-88868108,2024-12-22 13:23,,半程 / 中距离 / 短距离,❌,,浙江青鸟捷出体育科技有限公司,8000,,,苍南半程马拉松,,2024-12-06 17:00
4000/4000,150/100,,,https://www.hzwomenmarathon.com,已结束,浙江,B类,杭州市体育局 / 杭州市上城区人民政府 / 杭州市拱墅区人民政府 / 杭州西湖风景名胜区管理委员会,2024-11-07 10:00,,,杭州女子半程马拉松,19817439464,2024-12-01 00:00,,半程 / 中距离,✔️,2024-11-16 15:16,浙江中迹体育发展有限公司,8000,湖滨路步行街,,杭州女子半程马拉松,,2024-11-11 18:00
13000/7000,150/50,,,https://www.huangshimarathon.com,已结束,湖北,A1 / 精英,湖北省体育局 / 黄石市人民政府,2024-10-10 14:00,huangshimls@163.com,,黄石半程马拉松,13260676179,2024-12-08 13:58,,半程 / 短距离,✔️,2024-11-10 09:22,广州博润体育科技有限公司,20000,黄石人民广场,,黄石半程马拉松,,2024-10-31 10:00
3000/3000,160/80,,,,已结束,四川,B类,中共荣县县委 / 荣县人民政府,2024-10-20 10:00,rongxianmarathon@163.com,,尚跑赛事,19980816949,2024-12-08 15:30,,半程 / 短距离,❌,,广西新中体育有限责任公司,6000,荣县大佛景区,,荣县半程马拉松,https://docimg9.docs.qq.com/image/AgAACG-qqCH1zm6-b7FFbrrWwZBVMBeQ.png?w=1080&h=863,2024-11-06 23:59
5000/7000/8000,170/120/80,,,https://www.jinjiang-marathon.com,已结束,福建,A1 / 标牌,晋江市人民政府,2024-09-30 10:00,jjmarathon@126.com,,晋江马拉松,17282380483,2024-12-01 14:08,,全程 / 半程 / 短距离,❌,,路越（上海）体育发展有限公司,20000,晋江市体育中心-西大门,,晋江马拉松赛,,2024-11-10 18:00
1000/1000/1500/1500,160/120/100/80,,,,已结束,福建,A2,龙岩市体育局 / 龙岩市永定区人民政府,2024-10-21 10:00,,,永定土楼马拉松赛,13328750698,2024-12-15 15:28,,全程 / 半程 / 中距离 / 短距离,❌,,四川中奥致远体育文化传播有限公司 / 厦门迹外体育文化传媒有限公司,5000,永定土楼民俗文化村-福建土楼风情街,,福建永定土楼马拉松,,2024-11-25 15:00
26000,160,,,http://www.guangzhou-marathon.com,已结束,广东,A1 / 金标 / AIMS / CMM,广州市人民政府,2024-09-10 15:00,oc@guangzhou-marathon.com,,广州马拉松,020-38797839,2024-12-08 14:08,,全程,✔️,2024-10-12 16:28,中奥路跑(北京)体育管理有限公司,26000,天河体育中心-南广场,,广州马拉松赛,,2024-09-19 17:00
3500/7000/2000/7500,180/150/100/80,,,,已结束,广西,A1 / 标牌,广西壮族自治区体育局 / 防城港市人民政府,2024-10-18 14:00,china_aseanmls@126.com,,中国东盟马拉松,,2024-11-24 14:14,,全程 / 半程 / 10km / 短距离,❌,,安徽波动体育文化科技有限公司 / 池州山水体育文化发展有限公司,20000,北部湾海洋文化公园,,中国-东盟马拉松,,2024-11-04 18:00
3000/3000,120/60,,,,已结束,四川,A1,达州市人民政府 / 四川省田径协会,2024-10-18 10:00,qxmarathon@163.com,,四川省田径协会,028-62077702,2024-11-24 00:00,,半程 / 短距离,❌,,四川体产赛事管理有限公司,6000,渠县新体育馆,,渠县半程马拉松,,2024-10-31 17:00
4000/6000/5000,150/120/80,,,,已结束,湖南,A1 / 标牌,湖南省体育局 / 常德市人民政府,2024-10-17 10:00,changdemarathon@126.com,,常德柳叶湖马拉松,15072297945,2024-11-17 23:25,,全程 / 半程 / 短距离,❌,,路越（上海）体育发展有限公司,15000,柳叶湖游客广场,,常德柳叶湖马拉松,,2024-11-06 18:00
23000/15000,150/90,,,https://www.shang-ma.com/,已结束,上海,A1 / 白金 / AIMS / WMM-C,上海市体育总会 / 上海市黄浦区人民政府 / 上海市静安区人民政府 / 上海市徐汇区人民政府 / 东浩兰生（集团）有限公司,2024-10-09 20:00,general@shmarathon.com,,上马,400-1015879,2024-12-01 17:04,,全程 / 短距离,✔️,2024-10-24 14:17,上海东浩兰生赛事管理有限公司,38000,外滩金牛广场,,上海马拉松,,2024-10-14 12:00
3000/5000,130/50,,,,已结束,湖北,B类,湖北省体育局 / 襄阳市人民政府,2024-10-16 10:00,ycbcmls@163.com,,宜城文旅之声,19086319162,2024-11-24 10:10,,半程 / 短距离,❌,,,8000,宜城市楚都文化中心,,湖北·宜城汉江半程马拉松,,2024-11-05 18:00
1000/2000,100/50,,,,已结束,广西,B类,深圳市南山区人民政府 / 桂林市体育局 / 龙胜各族自治县人民政府,2024-10-23 10:00,xyzsmls@163.com,,润赛,13632711859,2024-11-24 00:00,,半程 / 短距离,❌,,华润文化体育发展有限公司,3000,滨江大道,,龙胜半程马拉松,,2024-11-07 23:59
8000/2000/2000,US$85/75/65,,,https://3rsrun.com,已结束,香港,HKAAA,中国香港田径总会,2024-09-23 14:00,3rsrun@hkaaa.com,,,(852)21229120,2024-11-17 16:16,,10km / 中距离 / 短距离,✔️,2024-10-01 16:20,,12000,香港国际机场,,三跑道系统十公里国际赛,,2024-09-27 19:00
6000/10000/8000/5000/1000,120/100/80/40/0,,,https://www.nanning-marathon.com,已结束,广西,A1,广西壮族自治区体育局 / 南宁市人民政府,2024-10-08 10:00,info@nanning-marathon.com,,南宁马拉松,18076642195,2024-12-01 13:55,,全程 / 半程 / 10km / 中距离 / 短距离,✔️,2024-10-27 14:16,广州万达体育发展有限公司,30000,民族广场,,南宁马拉松,,2024-10-20 22:00
2000/5000/5000,160/120/80,,,https://http:..ndmls.runnar.com,已结束,福建,A1,福建省体育局 / 宁德市人民政府,2024-09-30 10:00,lfhz@lffjhz.com,,2024宁德马拉松,15259369301,2024-12-08 10:30,,全程 / 半程 / 短距离,❌,,汕头市先奥体育文化传播有限公司 / 旅发（福建）会展有限公司,12000,,,宁德马拉松,,2024-10-31 17:00
3000/6000/6000,150/120/60,,,https://www.zhoushanmarathon.com,已结束,浙江,A1 / 标牌,舟山市人民政府,2024-09-20 10:00,,"https://docimg10.docs.qq.com/image/AgAACG-qqCGPJGskACJN1oRvZaEQPlf9.png?w=1080&h=810, https://docimg7.docs.qq.com/image/AgAACG-qqCFk58iCePJBJZi1GTm5o3gA.png?w=1080&h=810",舟山群岛马拉松,18959220741,2024-11-24 17:18,,全程 / 半程 / 短距离,❌,,北京中迹体育管理有限公司,15000,普陀大剧院,,舟山群岛马拉松,https://docimg5.docs.qq.com/image/AgAACG-qqCG0W8y5EkpHj6NyW94B-rT_.png?w=1080&h=762,2024-10-31 20:00
2500/1500,100/50,,,,已结束,浙江,B类,玉环市人民政府,2024-09-29 10:00,tzyhmls@163.com,,玉环马拉松,18858668443,2024-12-15 14:48,,半程 / 短距离,❌,,天津市飞赫体育文化传播有限公司 / 台州环游体育文化发展有限公司,4000,高铭暄学术馆,,玉环半程马拉松,,2024-10-27 10:00
20000,200,,,http://shenzhenmarathon.org.cn,已结束,广东,A1 / 金标,深圳市人民政府,2024-09-03 10:00,szmarathon@ssi.sihc.com.cn,,深圳马拉松官方,0755-25127039,2024-12-01 13:57,,全程,✔️,2024-09-27 17:54,深圳市深投控体育赛事发展有限公司,20000,深圳市民广场,,深圳马拉松,,2024-09-18 17:00
2000/5000/8000,180/150/80,,,,已结束,重庆,B类,重庆市璧山区人民政府,2024-10-10 10:00,,,云动重庆,17316784625,2024-12-15 10:58,,全程 / 半程 / 短距离,❌,,重庆云动风行体育文化传播有限公司,15000,,,重庆璧山马拉松,,2024-11-24 23:59
6000/8000/6000,200/200/100,,,http://www.hp-marathon.com,已结束,广东,B类 / 精英,广州开发区管委会 / 广州市黄埔区人民政府,2024-10-31 10:00,huangpu@sport-china.cn,,第一赛道、黄埔马拉松,,2024-12-22 14:14,,全程 / 半程 / 短距离,✔️,2024-11-29 09:23,广东新中体育集团有限公司,20000,,,黄埔马拉松,,2024-11-22 18:00
3000/8000/4000,200/200/80,,,https://www.zhuhaimarathon.com,取消/推迟/熔断,广东,B类,珠海市人民政府,2024-09-03 10:00,zhuhai-marathon@xempower.com.cn,,善跑体育,18551797803,2025-01-12 10:33,,全程 / 半程 / 短距离,✔️,2024-10-15 17:00,珠海华发体育运营管理有限公司 / 南京善跑体育科技有限公司,15000,珠海规划展览馆,,珠海马拉松,,2024-09-20 18:00
5000/7000/10000,150/120/60,,,https://sanya-marathon.irunner.mobi,已结束,海南,标牌,海南省旅游和文化广电体育厅 / 三亚市人民政府,2024-11-20 10:00,sanyamarathon@163.com,,海南三亚马拉松,17337254963,2024-12-29 14:19,,全程 / 半程 / 短距离,✔️,2024-12-06 14:50,海南广播电影电视传媒集团有限公司 / 海南体育赛事有限公司 / 杭州嗨跑体育管理有限公司,22000,美丽之冠-南门,,海南（三亚）马拉松,,2024-11-30 17:00
12000/6000,150/100,,,,已结束,重庆,A1,重庆市巴南区人民政府,2024-09-10 10:30,qjzxsports@163.com,,千君万马体育,400-659-2590,2024-12-29 09:20,,半程 / 短距离,❌,,,18000,重庆市巴南区人民政府,,重庆半程马拉松,,2024-10-14 23:59
3000/4000/8000,150/120/60,,,https://ybcjmarathon.com,已结束,四川,A1,宜宾市人民政府,2024-11-06 10:00,,,2024宜宾长江马拉松,18008053490,2024-12-22 15:10,,全程 / 半程 / 短距离,❌,,成都中体大健康体育文化传播有限公司 / 宜宾文传首城传媒集团有限公司,15000,三江路与学园街交叉口,,宜宾长江马拉松,https://docimg3.docs.qq.com/image/AgAACG-qqCFjezHAaNxG044cwANu_Z4G.jpeg?w=1280&h=898,2024-11-30 22:00
6000/4000,120/60,,,,已结束,四川,A2,德阳市人民政府 / 四川省田径协会 / 广汉市人民政府,2024-11-18 10:00,dymarathon@126.com,,德阳市体育局,0838-2203233,2024-12-29 14:12,,半程 / 短距离,❌,,四川体产赛事管理有限公司,10000,四川司法警官职业学院(青衣江校区),,德阳半程马拉松,,2024-11-30 22:00
3000/2000,100/50,,,,已结束,四川,A1,中国田径协会 / 成都市新津区人民政府,2024-11-05 10:00,xinjinsglsports@163.com,,博捷体育、成都新津,13529388388,2024-12-22 13:38,,10km / 5km,❌,,四川博捷体育文化传播有限公司 / 四川成都新津博体体育文化发展有限公司,5000,四川省水上运动学校,,中国田径协会10公里精英赛总决赛（成都新津）,https://docimg7.docs.qq.com/image/AgAACG-qqCHMgbE7HlZM_bY_Yr6CoWsM.jpeg?w=1280&h=660,2024-12-10 22:00
4000/10000/6000,200/200/80,,,,已结束,广东,A1,横琴粤澳深度合作区执行委员会,2024-10-18 15:00,,,,,2025-03-23 14:20,,全程 / 半程 / 短距离,✔️,2024-11-22 09:45,珠海华发体育运营管理有限公司,20000,,,横琴马拉松,,2024-11-08 15:00
4000/2000,150/50,,,https://urumqimarathon.xempower.cn,已结束,新疆,A1,乌鲁木齐市人民政府 / 新疆维吾尔自治区体育局,2024-11-04 14:00,shanpao@xempower.com.cn,,善跑体育,025-87775902,2024-12-22 09:45,,半程 / 短距离,✔️,2024-12-06 13:32,南京善跑体育科技有限公司,6000,新疆冬季运动管理中心,,乌鲁木齐半程马拉松,,2024-12-03 15:00
4000/8000/8000,180/180/100,,,http://hakka.sport-china.cn/,已结束,广东,B类,梅州市人民政府,2024-11-01 14:00,mz@sport-china.cn,,第一赛道、梅州马拉松赛,,2024-12-29 17:40,,全程 / 半程 / 短距离,✔️,2024-12-11 09:46,广西新中体育有限责任公司,20000,,,梅州马拉松,,2024-12-10 18:00
,,,,,取消/推迟/熔断,广东,精英,,,,,,,,,全程 / 半程,,,,,,,深圳宝安马拉松,,
4000/7000/14000,180/150/80,,,https://www.stmls.cn,已结束,广东,B类 / 精英,汕头市人民政府,2024-09-29 10:00,stlongrun0628@126.com,,汕头马拉松,0754-88282020,2024-12-22 14:13,,全程 / 半程 / 短距离,✔️,2024-11-17 10:36,汕头市先奥体育文化传播有限公司,25000,开放广场,,汕头马拉松,,2024-10-25 20:00
6000/10000/6000/4000,200/150/100/300(每组),,,https://www.sco-marathon.com,已结束,云南,A1 / 精英 / AIMS,云南省体育局 / 云南省人民政府外事办公室 / 昆明市人民政府,2024-11-26 10:00,scomarathon@vip.163.com,,上合昆明马拉松,17869819191,2024-12-29 16:36,,全程 / 半程 / 中距离 / 短距离,✔️,2024-12-13 18:01,,26000,云南海埂会堂,,上合昆明马拉松,,2024-12-05 22:00
,160/130/80,,,,已结束,福建,A1,福建省体育局 / 莆田市人民政府,2024-11-01 10:00,,,,,2024-12-29 17:36,,全程 / 半程 / 短距离,❌,,福建省广播影视文化传媒有限公司,,木兰溪治理展示馆,,莆田马拉松,,2024-11-25 17:00
