官方邮箱,起点,运营单位,抽签,最后编辑人,状态,分项规模,赛事,最后编辑时间,创建人,完赛经历要求,报名费,体检报告,联系电话,省份,赛事等级,创建时间,报名渠道,比赛路线,主办单位,奖牌,官网,比赛日期,缴费时间,退出机制,比赛项目,出签日期,总规模,微信公众号,报名开启时间,报名截止时间
,朱雀湖公园,广州悦跑信息科技有限公司,❌,,已结束,3000/2000,可克达拉半程马拉松,,,15km以上,100/60,未提及,18139233712,兵团,B,,官网/微信/小程序,,新疆生产建设兵团第四师可克达拉市人民政府,,,2025-05-25 00:00,报名时缴费,,半程 / 短距离,,5000,可克达拉市城建杯马拉松,2025-04-23 21:00,2025-05-15 21:00
lzstmarathon@163.com,丹霞广场,甘肃行者体育管理有限公司,❌,,已结束,1000/1500/2500,临泽马拉松,,,未提及,120/100/60,自行评估,0931-8100500,甘肃,A,,官网/微信/小程序,,临泽县人民政府,,,2025-06-29 00:00,报名时缴费,无,全程 / 半程 / 短距离,,5000,临泽生态马拉松,2025-04-05 10:00,2025-06-04 17:00
,资溪面包广场,浙江森狼体育发展有限公司,❌,,已结束,2000/3000,大觉山半程马拉松,,,未提及,,自行评估,18702590827,江西,A,,官网/微信/小程序,,资溪县人民政府 / 抚州市教育体育局,,,2025-05-11 00:00,报名时缴费,无,半程 / 短距离,,5000,大觉山马拉松,2025-03-20 11:00,2025-04-15 23:59
gzlpsmb@163.com,人民广场,贵州钟山旅游产业发展有限责任公司,✔️,,已结束,8000/12000/2000/10000,六盘水马拉松,,,未提及,198/148/88/60,自行评估,0858-8242195,贵州,A / 精英,,官网/微信/小程序,https://docimg2.docs.qq.com/image/AgAACG-qqCGngdf2R_RGpZEt0UY-qvwn.png?w=1080&h=729,贵州省体育局 / 六盘水市人民政府,,http://liupanshui.sites.irunner.mobi/,2025-07-20 08:53,报名时缴费,,全程 / 半程 / 10km / 短距离,2025-06-10 00:00,32000,凉都六盘水马拉松,2025-05-23 15:00,2025-06-05 18:00
bqmls@cnsgsports.cn,宝清县文化创意中心,华体赛事（北京）体育管理有限公司,✔️,,已结束,1000/2000/2000,宝清马拉松,,,半程或以上 / 10km及以上,120/60,未提及,18945189663,黑龙江,B,,官网/微信/小程序,,中共宝清县委 / 宝清县人民政府,,https://www.baoqingmarathon.com,2025-05-25 00:00,报名时缴费,,全程 / 半程 / 短距离,2025-05-01 14:55,5000,宝清马拉松,2025-03-24 10:00,2025-04-28 20:00
,靓淮河,,❌,,已结束,3000/2000,中国田径协会10公里精英赛（蚌埠站）,,,未提及,80/35,自行评估,,安徽,A / WA,,官网/微信/小程序 / 数字心动,,中国田径协会 / 蚌埠市人民政府,,,2025-05-04 10:39,报名时缴费,,10km / 短距离,,5000,蚌埠马拉松,2025-04-09 10:00,2025-04-23 10:00
longfengmls@126.com,来凤县文体局文化广场,湖北互通有道体育科技有限公司,✔️,,已结束,3000/5000/15000,湘鄂龙凤马拉松,,,全程 / 半程或以上,120/100/65,可用完赛证书,19907155622,湖北,A,,官网/微信/小程序 / 数字心动,https://docimg6.docs.qq.com/image/AgAACG-qqCEtiUX3JqtDpou-Uqu_vx0E.png?w=1080&h=1509,来凤县人民政府 / 龙山县人民政府,,https://www.longfengmarathon.com,2025-05-02 09:10,报名时缴费,无,全程 / 半程 / 短距离,2025-03-18 16:56,23000,湘鄂龙凤双城马拉松,2024-12-31 10:00,2025-03-15 18:00
ccmarathon@126.com,,厦门文广体育有限公司,✔️,,已结束,10000/15000/10000,长春马拉松,,,,180/150/80,,0431-88655081,吉林,A / 标牌,,官网/微信/小程序 / 数字心动,,长春市人民政府 / 吉林省体育局,,http://www.changchunmarathon.com,2025-05-25 13:42,报名时缴费,,全程 / 半程 / 短距离,2025-04-19 10:48,35000,长春马拉松,2025-03-20 15:00,2025-04-15 18:00
baojimarathon@163.com,青莲山广场,威赢赛事运营有限公司,✔️,,已结束,3000/2000,陕西宝鸡·麟游夏季半程马拉松,,,未提及,120/60,自行评估,,陕西,A,,官网/微信/小程序,,宝鸡市体育局 / 麟游县人民政府,,,2025-06-29 10:30,中签后缴费,,半程 / 短距离,2025-05-23 14:44,5000,宝鸡马拉松,2025-05-09 10:00,2025-05-14 12:00
xqbcmls@163.com,栖霞湖,,✔️,,已结束,8000/4000,兰州新区半程马拉松,,,未提及,100/60,自行评估,0931-8100500,甘肃,A,,官网/微信/小程序 / 数字心动,,兰州新区管理委员会,,http://lanzhouxinqumarathon.com,2025-08-24 00:00,报名时缴费,无,半程 / 短距离,2025-07-15 00:00,12000,兰州新区半程马拉松,2025-06-23 10:00,2025-06-27 18:00
badongmarathon@luyuesport.com,巴东县野三关镇人民政府,路越（湖北）体育发展有限公司,❌,,已结束,1000/1500/3000,巴东野三关半程马拉松,,,10km及以上,120/80/60,可用完赛证书,13701741466,湖北,B,,官网/微信/小程序 / 第一赛道 / 马拉马拉 / 数字心动,,巴东县人民政府,,https://www.badongmarathon.com,2025-08-17 00:00,报名时缴费,1. 已提交报名信息及支付的选手，在7月31日18:00前，可在订单页面自行办理退赛退费服务。2.完成缴费后24小时内的报名订单，申请退赛退费的将不 收取任何费用，报名费将在申请后1个工作日内全额原路退回。3.完成缴费后超过24小时的报名订单，申请退赛退费的不 论项目均需收取20 元/次的服务费，扣除相应服务费后剩余费用 在申请后1个工作日内原路退回。,半程 / 中距离 / 短距离,,5500,巴东马拉松,2025-07-17 10:00,2025-08-05 18:00
tachengmarathon@163.com,,,❌,,已结束,2000/5000,塔城半程马拉松,,,10km及以上,80/50,必须,18324410076,新疆,B,,官网/微信/小程序,,塔城地区行政公署 / 新疆马拉松及路跑协会,,https://www.tachengmarathon.com,2025-08-24 00:00,报名时缴费,,半程 / 短距离,,7000,塔城马拉松,2025-07-08 10:00,2025-08-05 22:00
kuitun@sport-china.cn,,广东新中体育集团有限公司,❌,,已结束,4000/2000/4000,新疆奎屯兵地融合半程马拉松暨中国田径协会10公里精英赛（奎屯站）,,,半程或以上,120/80/60,自行评估,,新疆,A / A,,官网/微信/小程序 / 第一赛道 / 数字心动,,奎屯市人民政府 / 中国田径协会 / 第七师胡杨河市人民政府,,,2025-05-02 10:22,报名时缴费,4月10日18时前可退改,半程 / 10km / 短距离,,10000,奎屯马拉松、第一赛道,2025-03-10 14:00,2025-04-10 18:00
,,,❌,,已结束,3000/7000,和龙半程马拉松,,,未提及,120/60,自行评估,18004422098,吉林,B,,数字心动,,吉林省体育局 / 延边州人民政府,,,2025-09-07 00:00,报名时缴费,,半程 / 短距离,,10000,和龙半程马拉松、和龙半马,2025-08-04 10:00,2025-08-14 17:00
,太阳广场,云南博捷体育赛事策划有限公司,❌,,已结束,3000/3000,普洱墨江半程马拉松,,,未提及,120/60,必须,13529388388,云南,B,,官网/微信/小程序,,普洱市教育体育局 / 中共墨江县委员会 / 墨江县人民政府,,https://www.sichuanbojiesports.com,2025-06-22 10:05,报名时缴费,,半程 / 短距离,,6000,博捷体育,2025-04-10 10:00,2025-05-09 20:00
dlmlsmarathon@163.com,港浦路与珠荷街交叉口,华润文化体育发展有限公司 / 南京善跑体育科技有限公司,✔️,,已结束,12000/16000/5000,大连马拉松,,,未提及,180/150/80,自行评估,0411-84802607,辽宁,A / 精英 / AIMS,,官网/微信/小程序,,大连市人民政府,,https://dlmls.org,2025-05-11 10:31,中签后缴费,3月31日24时前可以退出,全程 / 半程 / 短距离,2025-03-24 10:07,33000,大连马拉松赛,2025-03-10 10:00,2025-03-16 18:00
cxmls@cnsgsports.cn,楚雄州文化活动中心,华体赛事（北京）体育管理有限公司,✔️,,已结束,2000/5000/8000,楚雄马拉松,,,马拉松项目需半程以上完赛经历 / 10km及以上,180/150/80,自行评估,17787824975,云南,A,,官网/微信/小程序,,楚雄市人民政府,,https://chuxiongmarathon.chinaath.com,2025-07-13 15:58,报名时缴费,,全程 / 半程 / 短距离,2025-06-23 00:00,15000,楚雄马拉松,2025-05-09 10:00,2025-06-08 18:00
178827103@qq.com,云澜湾温泉度假小镇,浙江午马精英体育发展有限公司,❌,,已结束,1500/1500,中国田径协会10公里精英赛 嘉善 · 大云站,,,未提及,100/80,未提及,18058756033,浙江,A / WA,,官网/微信/小程序,,中国田径协会 / 嘉善县人民政府,,https://m.irunner.mobi/mix-race-apply/?match_eng=67f622ee1a4d6#/grid,2025-05-11 10:39,报名时缴费,无,10km / 短距离,,3000,午马体育,2025-04-10 12:00,2025-04-23 23:59
,,华舰体育赛事发展（山西）有限公司,✔️,,已结束,4000/2000,阳泉娘子关半程马拉松,,,未提及,120/50,自行评估,,山西,A,,官网/微信/小程序,,阳泉市体育局 / 平定县人民政府,,,2025-05-25 11:20,报名时缴费,,半程 / 短距离,2025-04-09 15:42,6000,,2025-04-01 10:00,2025-04-07 17:00
wnmarathon@163.com,乌撒广场,,❌,,已结束,4000/6000,威宁半程马拉松,,,未提及,130/50,自行评估,13535360830,贵州,A,,官网/微信/小程序,,贵州省体育局 / 毕节市人民政府,,,2025-08-24 00:00,报名时缴费,,半程 / 短距离,,10000,"威宁半程马拉
松",2025-06-24 14:00,2025-07-28 17:00
info@great-wall-marathon.com.cn,黄崖关长城风景区-正关广场,,❌,,已结束,,黄崖关长城国际马拉松,,,未提及,2080,未提及,010-63552521,天津,AIMS,,官网/微信/小程序 / 马拉马拉,,北京唯文恒石体育文化有限责任公司 / 丹麦Albatros Adventure Marathons,,https://www.great-wall-marathon.com.cn,2025-05-17 09:58,报名时缴费,无,全程 / 半程 / 短距离,,2500,GWM长马,2024-08-24 19:00,2025-03-01 23:59
guiyang@sport-china.cn,贵阳国际会议展览中心北广场,广东新中体育集团有限公司,✔️,,已结束,6000/12000/3000/14000,贵阳马拉松,,,半程或以上,200/180/100/80,自行评估,,贵州,A / 精英,,官网/微信/小程序,,贵州省体育局 / 贵阳市人民政府,,http://www.guiyangmarathon.com,2025-06-15 08:55,报名时缴费,（1）已提交报名信息及支付报名费的运动员，可在退费服务截止前，自行在报名系统操作申请退费。（2）抽签结果公布前，申请退赛退费的将不收取任何费用，报名费将在申请后2个工作日内全额原路退回。（3）抽签结果公布后，未中签或审核未通过运动员报名费将在2个工作日内全额原路退回。（4）抽签结果公布后，已中签运动员可在5月30日前在报名页面自行办理退赛退费，在服务截止前退出的退还70%报名费，办理退费后，系统将在2个工作日内将原路退款，5月31日之后不可再退出。,全程 / 半程 / 10km / 短距离,2025-05-15 10:43,35000,贵阳马拉松,2025-04-29 14:00,2025-05-12 16:00
yinchuanmls@163.com,,,✔️,,已结束,7000/11000/10000,宁夏银川马拉松赛,,,未提及,180/150/80,未提及,0951-6713026,宁夏,A,,官网/微信/小程序 / 数字心动,,宁夏回族自治区体育局 / 银川市人民政府 / 宁夏贺兰山东麓葡萄酒产业园区管委会,,https://yinchuanmarathon.shuzixindong.com,2025-05-18 00:00,报名时缴费,,全程 / 半程 / 短距离,2025-04-22 17:08,28000,银川马拉松,2025-03-27 17:18,2025-04-17 12:00
kangpingmarathon@163.com,卧龙湖生态区,,✔️,,已结束,2000/5000/3000,沈阳·康平卧龙湖马拉松,,,半程或以上 / 未提及,150/120/80,自行评估,024-31326115,辽宁,B,,官网/微信/小程序,"https://docimg9.docs.qq.com/image/AgAACG-qqCF0mPqZK0dLvrYfiiG9jZWa.png?w=1080&h=948, https://docimg9.docs.qq.com/image/AgAACG-qqCHet9-6JMVL1rHWqNsapFQf.png?w=1080&h=948, https://docimg6.docs.qq.com/image/AgAACG-qqCET2le601BEBrYi5RUfQf6X.png?w=1080&h=948",沈阳市体育局 / 康平县人民政府,,http://www.kangpingmarathon.luojiweiye.com/,2025-08-31 00:00,报名时缴费,无,全程 / 半程 / 中距离,2025-07-18 00:00,10000,康平马拉松,2025-06-26 12:00,2025-07-13 12:00
397529747@qq.com,鹤庆·新华银器小镇,路越（上海）体育发展有限公司,❌,,已结束,3000/2000,鹤庆半程马拉松,,,10km及以上,150/77,可用完赛证书,13700622001,云南,B,,官网/微信/小程序 / 第一赛道,,鹤庆县人民政府,,,2025-08-10 14:29,报名时缴费,有,半程 / 短距离,,5000,曲速体育、路越体育、第一赛道,2025-06-13 10:00,2025-07-20 18:00
pbbj@baa.org.cn,石龙路与金沙街交叉口,,✔️,,已结束,5000,中国田径协会10公里精英赛 （北京门头沟站）,,,未提及,100,自行评估,18511081160,北京,A / WA,,官网/微信/小程序 / 数字心动 / 马拉马拉,,中国田径协会 / 北京市门头沟区人民政府,,,2025-05-18 10:39,报名时缴费,无,10km,2025-04-25 11:12,5000,北京市田径运动协会、跑遍北京,2025-04-01 10:00,2025-04-10 18:00
278584864@q.com,北陵公园,,✔️,,已结束,6000/6000,沈阳皇姑半程马拉松,,,未提及,120/60,自行评估,024-31851890,辽宁,B,,官网/微信/小程序,,中共沈阳市皇姑区委员会 / 沈阳市皇姑区人民政府,,,2025-05-31 00:00,报名时缴费,有退出和候补机制,半程 / 短距离,2025-04-29 11:14,12000,文创皇姑,2025-04-18 15:00,2025-04-23 17:00
,,四川博捷体育文化传播有限公司,❌,,已结束,10000/6000,弥勒半程马拉松,,,,150/60,必须,13529388388,云南,A,,官网/微信/小程序,,云南省体育局 / 红河哈尼族彝族自治州人民政府,,https://www.sichuanbojiesports.com,2025-05-18 00:00,,,半程 / 短距离,,16000,弥勒半程马拉松,2025-03-08 10:00,2025-03-28 22:00
kuchemarathon@luyuesport.com,库车市政府便民办公大楼,路越（湖北）体育发展有限公司,❌,,已结束,2000/3000/5000,库车马拉松,,,10km及以上,150/120/60,可用完赛证书,13697293951,新疆,B,,官网/微信/小程序 / 第一赛道,,库车市人民政府,,https://kuche.sport-china.cn,2025-05-04 00:00,报名时缴费,4月15日18:00前可退出,全程 / 半程 / 短距离,,10000,路越体育,2025-03-20 10:00,2025-04-20 18:00
sy_marathon@163.com,,北京中锐体育产业有限公司,✔️,,已结束,8000/12000,沈阳马拉松,,,半程或以上,180/150,自行评估,15142042195,辽宁,A / 精英,,官网/微信/小程序 / 马拉马拉,,沈阳市人民政府,,https://www.symarathon.com,2025-09-14 16:26,报名时缴费,有退出和候补机制,全程 / 半程,2025-07-30 00:00,20000,2025沈阳马拉松,2025-07-10 10:00,2025-07-22 15:00
15042061405@qq.com,铁岭新区钻石广场,,✔️,,已结束,6000/2000,铁岭莲花湿地半程马拉松,,,未提及,120/60,自行评估,15042061405,辽宁,A,,官网/微信/小程序 / 数字心动,,中共铁岭县委 / 铁岭县人民政府,,,2025-09-07 00:00,报名时缴费,,半程 / 短距离,2025-07-25 00:00,8000,铁岭莲花湿地半程马拉松,2025-07-09 14:00,2025-07-20 17:00
shuangao@163.com,,北京双奥体育文化产业集团有限公司,❌,,已结束,4500/1500,北京大兴半程马拉松,,,未提及,120/50,必须,010-53383535,北京,A,,官网/微信/小程序 / 数字心动,,北京市大兴区人民政府,,,2025-05-11 13:26,报名时缴费,,半程 / 短距离,,6000,首善之地魏善庄,2025-04-11 10:00,2025-04-17 16:00
lmcdm2023@163.com,全民健身中心,云南行知探索体育文旅产业有限公司,✔️,,已结束,2000/8000/6000/4000,澜沧江-湄公河合作大理马拉松,,,半程或以上,200/150/80/60,自行评估,0871-65629970,云南,A,,官网/微信/小程序 / 数字心动,,大理州人民政府 / 云南省体育局 / 云南省人民政府外事办公室,,,2025-05-18 09:41,报名时缴费,无,全程 / 半程 / 中距离 / 短距离,2025-04-30 14:54,20000,澜湄合作大理马拉松LMCDM,2025-02-14 10:00,2025-04-20 23:59
,遵义市奥林匹克体育中心,贵州小马体育发展有限公司 / 济南路跑文化传播有限公司,❌,,已结束,4000/8000/3000/5000,遵义马拉松,,,未提及,198/158/108/88,自行评估,0851-28975933,贵州,A,,官网/微信/小程序 / 数字心动 / 马拉马拉 / 马拉松报名网,,贵州省体育局 / 遵义市人民政府,,,2025-05-11 00:00,报名时缴费,无,全程 / 半程 / 10km / 短距离,,20000,遵义马拉松、贵州小马体育,2025-03-03 09:00,2025-04-15 17:00
,,四川博捷体育文化传播有限公司,✔️,,已结束,5000/3000/4000,贵州·镇宁黄果树半程马拉松,,,未提及,180/100/60,必须,13529388388,贵州,A / 精英,,官网/微信/小程序 / 数字心动,,贵州省体育局 / 安顺市人民政府,,https://www.sichuanbojiesports.com,2025-06-22 08:54,报名时缴费,,半程 / 中距离 / 短距离,2025-05-01 11:03,12000,黄果树半程马拉松,2025-03-20 10:00,2025-04-25 22:00
,红海滩国家风景廊道,,✔️,,已结束,2000/6000/4000,盘锦红海滩马拉松,,,未提及,150/120/50,必须,024-31326115,辽宁,A,,官网/微信/小程序,,辽宁省体育局 / 盘锦市人民政府,,,2025-09-21 10:41,报名时缴费,,全程 / 半程 / 短距离,2025-09-05 00:00,12000,盘锦红马,2025-08-08 10:00,2025-08-31 12:00
,,悦动未来（宁夏）体育文化发展有限公司,❌,,已结束,5000/2000,宁夏贺兰山东麓葡萄酒产区半程马拉松路跑双季赛（金秋赛）,,,未提及,140/80,自行评估,13309501470,宁夏,B,,官网/微信/小程序 / 跑跑网(马拉松报名),,宁夏回族自治区体育局 / 宁夏回族自治区文化和旅游厅 / 宁夏贺兰山东麓葡萄酒产业园区管理委员会 / 银川市西夏区人民政府,,,2025-09-14 00:00,报名时缴费,,半程 / 短距离,,7000,宁夏贺兰山路跑双季赛,2025-07-21 10:00,2025-07-31 23:59
,龙潭公园,浙江中迹体育发展有限公司,❌,,已结束,1500/3500/5000,阿克苏市马拉松,,,未提及,120/100/60,自行评估,400-1111-042,新疆,A,,官网/微信/小程序,,阿克苏市人民政府 / 杭州市援疆指挥部,,,2025-10-19 00:00,报名时缴费,,全程 / 半程 / 短距离,,10000,阿克苏市马拉松,2025-08-15 10:00,2025-10-05 23:59
csmarathon@126.com,杜甫江阁,长沙体育产业经营有限公司,✔️,,已结束,15000/16000/4000,长沙马拉松,,,未提及,200/180/80,自行评估,400-8516-999,湖南,A / 金标 / AIMS,,官网/微信/小程序 / 数字心动 / 马拉马拉,,长沙市人民政府 / 湖南省体育局,,https://www.marathonchangsha.com,2025-10-26 16:24,报名时缴费,,全程 / 半程 / 短距离,2025-08-27 00:00,35000,长沙马拉松,2025-07-31 10:00,2025-08-06 17:00
tz-marathon@xempower.com.cn,泰州体育公园-西门,南京善跑体育科技有限公司,✔️,,已结束,3000/10000/7000,泰州马拉松,,,未提及,150/100/60,自行评估,025-87775902,江苏,B,,官网/微信/小程序,,泰州市人民政府,,,2025-10-19 00:00,报名时缴费,9月10前可以退出,全程 / 半程 / 短距离,2025-09-15 00:00,20000,泰州马拉松,2025-08-12 10:00,2025-08-31 18:00
brsmarathon@163.com,查干湖景区南门游客中心,广州博润体育科技有限公司,✔️,,已结束,2000/6000/2000,查干湖马拉松,,,未提及,150/120/80,未提及,13260675696,吉林,A,,官网/微信/小程序 / 数字心动,,前郭尔罗斯蒙古族自治县人民政府 / 吉林查干湖旅游经济开发区管委会,,,2025-09-21 00:00,报名时缴费,,全程 / 半程 / 短距离,2025-08-08 00:00,10000,查干湖马拉松,2025-07-09 09:00,2025-07-31 18:00
lushanmarathon@163.com,,庐山文化旅游投资控股集团,❌,,已结束,7000,庐山半程马拉松,,,未提及,150,自行评估,19905197127,江西,A,,官网/微信/小程序 / 数字心动,,九江市人民政府,,http://lushanmarathon.umaysports.cn/,2025-09-21 00:00,报名时缴费,,半程,,7000,庐山半程马拉松赛,2025-07-18 18:00,2025-07-27 15:30
,宝坻体育中心,天津悦森体育文化发展有限公司,❌,,已结束,5000/3000,潮白湿地半程马拉松,,,未提及,120/60,自行评估,16600484578,天津,B,,数字心动 / 赛客 / 马拉马拉 / 最酷 / 跑跑网(马拉松报名) / 润赛美佳,,天津市宝坻区人民政府,,,2025-10-01 00:00,报名时缴费,,半程 / 短距离,,8000,悦森文体,2025-08-08 09:00,2025-08-15 17:00
oc@tianjin-marathon.com,,中奥路跑(北京)体育管理有限公司,✔️,,已结束,18000/10000/5000,天津马拉松,,,未提及,200/150/100,自行评估,13164230530,天津,A,,官网/微信/小程序 / 马拉马拉 / 数字心动,,天津市人民政府,,https://www.tianjin-marathon.com,2025-10-26 00:00,中签后缴费,9月10日10时至9月13日18时退出,全程 / 半程 / 短距离,2025-08-22 00:00,33000,天津马拉松,2025-08-09 10:00,2025-08-15 10:00
,三江路与学园街交叉口,成都中体大健康体育文化传播有限公司,❌,,已结束,3000/6000,宜宾长江首城马拉松,,,未提及,150/120/100/60,必须,18008053490,四川,A,,官网/微信/小程序 / 数字心动 / 润赛美佳,,宜宾市人民政府 / 四川省田径协会,,,2025-10-12 00:00,报名时缴费,,全程 / 半程,,9000,宜宾长江马拉松,2025-07-18 10:00,2025-08-10 18:00
hirunkefu@163.com,临安人民广场,杭州嗨跑体育管理有限公司,✔️,,已结束,8000/2000/2000,杭州临安半程马拉松,,,未提及,150/100/80,可用完赛证书,18248484836,浙江,A,,官网/微信/小程序 / 数字心动,,杭州市临安区人民政府,,https://hirunsport.cn,2025-10-19 00:00,报名时缴费,9月20日前可退出,半程 / 短距离,2025-09-10 00:00,12000,嗨跑体育,2025-08-18 10:00,2025-08-30 16:00
,人民文化广场,甘肃行者体育管理有限公司,❌,,已结束,3500/6500,金昌半程马拉松,,,未提及,100/60,自行评估,0935-8212360,甘肃,A / WA,,官网/微信/小程序,,中国田径协会 / 金昌市人民政府,,https://jinchangmarathon.cn,2025-09-21 17:08,报名时缴费,无,半程 / 短距离,,10000,金昌半程马拉松,2025-06-20 10:00,2025-06-22 12:00
tonglumls123@163.com,桐庐中心广场,浙江午马精英体育发展有限公司,✔️,,已结束,12000/3000,桐庐半程马拉松,,,未提及,150/60,未提及,18058756033,浙江,A,,官网/微信/小程序,,桐庐县人民政府,,,2025-10-26 00:00,中签后缴费,,半程 / 短距离,2025-07-15 00:00,15000,午马体育,2025-07-08 10:00,2025-07-11 12:00
ximahuipao@163.com,延安革命纪念馆,西安西马汇跑赛事运营有限公司,✔️,,已结束,5000/3000,延安红色半程马拉松,,,未提及,150/80,自行评估,400-11-42195,陕西,A,,官网/微信/小程序 / 数字心动,,陕西省体育局 / 延安市人民政府,,https://yanan-marathon.shuzixindong.com,2025-09-21 10:41,报名时缴费,,半程 / 短距离,2025-08-25 00:00,8000,西马汇跑,2025-08-14 10:00,2025-08-19 18:00
kmmarathon@expewise.com,石林红杉湖温泉酒店,云南行知探索体育文旅产业有限公司,✔️,,已结束,8000/2000/2000,昆明半程马拉松,,,未提及,150/100/50,现场核验,0871-65629970,云南,A,,官网/微信/小程序 / 数字心动,,云南省体育局 / 昆明市人民政府,,https://kmmarathon.saihuitong.com,2025-10-12 00:00,报名时缴费,,半程 / 中距离 / 短距离,2025-09-23 00:00,12000,昆明高原半程马拉松赛,2025-09-12 10:00,2025-09-21 18:00
kuerlemls@163.com,鸿雁广场,南京极致体育发展有限公司,❌,,已结束,4000/6000,库尔勒半程马拉松,,,半程或以上,100/20,可用完赛证书,13076167389,新疆,A,,官网/微信/小程序,,巴州文化体育广播电视和旅游局 / 库尔勒市人民政府,,,2025-10-02 00:00,报名时缴费,,半程 / 短距离,,10000,库尔勒马拉松,2025-08-01 10:00,2025-09-10 18:00
haidianmarathon@163.com,中关村壹号,北京中锐体育产业有限公司,✔️,,已结束,10000,海淀马拉松,,,半程或以上,200,自行评估,18511942195,北京,A,,官网/微信/小程序 / 数字心动 / 马拉马拉,,北京市体育局 / 北京市海淀区人民政府,,https://www.haidian-marathon.com,2025-10-12 00:00,中签后缴费,,全程,2025-09-07 00:00,10000,海淀马拉松,2025-08-08 10:00,2025-08-26 23:59
,,北京初美体育文化发展有限公司,❌,,已结束,7000/3000,天津团泊湖半程马拉松,,,未提及,150/80,必须,,天津,A,,官网/微信/小程序,,天津市静海区人民政府,,,2025-09-21 10:41,,,半程 / 短距离,,10000,团泊湖马拉松官方号,2025-06-18 10:00,2025-07-18 12:00
,,成都中体大健康体育文化传播有限公司,❌,,已结束,3000/500/3500,拉萨半程马拉松,,,亚高原或高原半程马拉松或40公里以上越野赛或拉萨半马完赛,150/100/60,必须,18008053490,西藏,A,,官网/微信/小程序,,拉萨市人民政府 / 西藏自治区体育局,,,2025-09-21 00:00,报名时缴费,,半程 / 中距离 / 短距离,,7000,拉萨市体育局、中体大健康,2025-07-15 12:00,2025-08-10 17:00
hutongquanma@126.com,陆羽广场,湖北互通有道体育科技有限公司,✔️,,已结束,2000/5000/4000/9000,天门马拉松,,,半程或以上,150/120/80/60,可用完赛证书,19907155922,湖北,A,,官网/微信/小程序 / 数字心动,,湖北省体育局 / 天门市人民政府,,https://www.tianmenmarathon.com,2025-10-12 17:54,报名时缴费,,全程 / 半程 / 中距离 / 短距离,2025-09-18 00:00,20000,天门马拉松,2025-06-18 10:00,2025-09-10 10:00
,,云南博捷体育赛事策划有限公司,✔️,,已结束,5000/5000,大理小河淌水半程马拉松,,,未提及,150/60,必须,13529388388,云南,A,,官网/微信/小程序 / 数字心动,,云南省体育局 / 大理白族自治州人民政府,,https://www.sichuanbojiesports.com,2025-09-21 11:07,报名时缴费,,半程 / 短距离,2025-07-21 11:11,10000,博捷体育,2025-06-06 10:00,2025-07-10 22:00
taimabaoming@163.com,五一广场,开承体育文化产业（重庆）有限公司,✔️,,已结束,15000/18000/7000,"太原马拉松赛
",,,未提及,180/150/80,自行评估,18835194219,山西,A / 金标,,官网/微信/小程序 / 数字心动,,山西省体育局 / 太原市人民政府,,http://tymarathon.cn,2025-09-21 09:45,报名时缴费,无,全程 / 半程 / 短距离,2025-07-22 00:00,40000,太原马拉松,2025-06-23 10:00,2025-07-15 23:59
general@shmarathon.com,,上海东浩兰生赛事管理有限公司,✔️,,已结束,7000,上海10公里精英赛,,,未提及,100,自行评估,400-101-5879,上海,A / 金标,,官网/微信/小程序 / 上马,,上海市体育总会 / 上海市普陀区人民政府 / 东浩兰生（集团）有限公司,,https://www.shang-ma.com,2025-10-26 08:40,中签后缴费,无,10km,2025-09-19 00:00,7000,上马,2025-09-09 15:00,2025-09-12 17:00
suizhou@guatomail.cn,,广东新中体育集团有限公司,✔️,,已结束,3000/5000/4000,随州马拉松赛,,,半程或以上,180/150/80,可用完赛证书,,湖北,A,,官网/微信/小程序 / 第一赛道,,湖北省体育局 / 随州市人民政府,,https://suizhou.sport-china.cn,2025-10-19 00:00,报名时缴费,8月17日前可以退,全程 / 半程 / 短距离,2025-08-29 00:00,12000,随州马拉松、第一赛道,2025-07-10 10:00,2025-08-10 18:00
,龙虎山风景区-游客中心,,✔️,,已结束,9000/900,鹰潭龙虎山半程马拉松,,,半程或以上,160/110,可用完赛证书,13006238000,江西,A,,官网/微信/小程序,,鹰潭市体育局 / 鹰潭市龙虎山风景名胜区管理委员会 / 鹰潭市文化旅游投资发展集团有限公司,,,2025-10-08 00:00,报名时缴费,,半程 / 短距离,2025-08-25 00:00,9900,鹰潭马拉松,2025-07-01 09:00,2025-08-19 23:59
,,,✔️,,已结束,10000/15000/10000,黄河口（东营）马拉松,,,未提及,150/120/80,必须,,山东,A / 金标 / AIMS,,官网/微信/小程序,,山东省体育局 / 东营市人民政府,,,2025-10-19 00:00,中签后缴费,无,全程 / 半程 / 短距离,2025-06-10 11:08,35000,黄河口东营马拉松赛,2025-05-26 10:00,2025-06-03 17:00
,长宁站,重庆渝跑悦动体育发展有限公司,❌,,已结束,6000/4000,长宁·蜀南竹海半程马拉松,,,未提及,120/60,自行评估,17316784625,四川,B,,官网/微信/小程序 / 数字心动 / 跑跑网(马拉松报名) / 最酷 / 我要赛,,长宁县人民政府 / 宜宾市蜀南竹海兴文石海文化生态旅游示范区,,,2025-09-21 10:41,报名时缴费,伤病可退,半程 / 短距离,,10000,,2025-07-18 15:00,2025-08-15 17:00
